Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;967,33000;10,00;7,06;-0,22559;
1,010;967,32000;10,00;7,06;-0,22558;
2,012;967,32000;10,00;7,06;-0,22558;
3,016;967,19000;10,00;7,06;-0,22554;
4,020;961,89000;10,00;7,06;-0,22369;
5,025;743,27000;10,00;7,15;-0,13691;
6,031;624,19000;10,00;7,21;-0,07814;
7,033;549,11000;10,00;7,25;-0,03500;
8,042;497,83000;10,00;7,28;-0,00200;
9,051;471,18000;10,00;7,30;0,01651;
10,059;464,92000;10,00;7,31;0,02102;
11,069;471,01000;10,00;7,30;0,01663;
12,073;488,84000;10,00;7,29;0,00413;
13,076;507,07000;10,00;7,28;-0,00819;
14,081;522,72000;10,00;7,27;-0,01843;
15,090;533,02000;10,00;7,26;-0,02499;
16,099;537,81000;10,00;7,26;-0,02800;
17,106;540,89000;10,00;7,26;-0,02993;
18,113;537,96000;10,00;7,26;-0,02810;
19,116;533,00000;10,00;7,26;-0,02498;
20,120;529,58000;10,00;7,26;-0,02281;
21,124;526,99000;10,00;7,27;-0,02116;
22,133;525,38000;10,00;7,27;-0,02013;
23,137;523,99000;10,00;7,27;-0,01924;
24,144;522,64000;10,00;7,27;-0,01837;
25,150;521,56000;10,00;7,27;-0,01768;
26,156;520,67000;10,00;7,27;-0,01710;
27,162;520,01000;10,00;7,27;-0,01668;
28,169;519,48000;10,00;7,27;-0,01633;
29,173;519,08000;10,00;7,27;-0,01607;
30,176;518,79000;10,00;7,27;-0,01589;
31,180;518,64000;10,00;7,27;-0,01579;
32,184;518,48000;10,00;7,27;-0,01568;
33,193;518,36000;10,00;7,27;-0,01561;
34,202;518,26000;10,00;7,27;-0,01554;
35,203;518,18000;10,00;7,27;-0,01549;
36,211;518,12000;10,00;7,27;-0,01545;
37,221;518,06000;10,00;7,27;-0,01541;
38,228;518,00000;10,00;7,27;-0,01537;
39,229;517,95000;10,00;7,27;-0,01534;
40,233;517,91000;10,00;7,27;-0,01531;
41,243;517,87000;10,00;7,27;-0,01529;
42,245;517,80000;10,00;7,27;-0,01524;
43,255;517,75000;10,00;7,27;-0,01521;
44,259;517,71000;10,00;7,27;-0,01518;
45,263;517,66000;10,00;7,27;-0,01515;
46,265;517,62000;10,00;7,27;-0,01513;
47,268;517,61000;10,00;7,27;-0,01512;
48,272;517,57000;10,00;7,27;-0,01509;
49,277;517,56000;10,00;7,27;-0,01509;
50,278;517,56000;10,00;7,27;-0,01509;
51,286;517,54000;10,00;7,27;-0,01507;
52,289;517,52000;10,00;7,27;-0,01506;
53,292;517,52000;10,00;7,27;-0,01506;
54,293;517,48000;10,00;7,27;-0,01503;
55,298;517,47000;10,00;7,27;-0,01503;
56,303;517,42000;10,00;7,27;-0,01500;
57,310;517,36000;10,00;7,27;-0,01496;
58,314;517,31000;10,00;7,27;-0,01492;
59,319;517,27000;10,00;7,27;-0,01490;
60,325;517,26000;10,00;7,27;-0,01489;
61,334;517,27000;10,00;7,27;-0,01490;
62,335;517,23000;10,00;7,27;-0,01487;
63,339;517,22000;10,00;7,27;-0,01487;
64,343;517,22000;10,00;7,27;-0,01487;
65,347;517,18000;10,00;7,27;-0,01484;
66,351;517,18000;10,00;7,27;-0,01484;
67,356;517,18000;10,00;7,27;-0,01484;
68,358;517,18000;10,00;7,27;-0,01484;
69,367;517,18000;10,00;7,27;-0,01484;
70,368;517,18000;10,00;7,27;-0,01484;
71,374;517,20000;10,00;7,27;-0,01485;
72,385;517,21000;10,00;7,27;-0,01486;
73,395;517,22000;10,00;7,27;-0,01487;
74,405;517,22000;10,00;7,27;-0,01487;
75,406;517,22000;10,00;7,27;-0,01487;
76,414;517,20000;10,00;7,27;-0,01485;
77,414;517,18000;10,00;7,27;-0,01484;
78,423;517,18000;10,00;7,27;-0,01484;
79,431;517,14000;10,00;7,27;-0,01481;
80,441;517,15000;10,00;7,27;-0,01482;
81,449;517,14000;10,00;7,27;-0,01481;
82,453;517,14000;10,00;7,27;-0,01481;
83,457;517,14000;10,00;7,27;-0,01481;
84,459;517,17000;10,00;7,27;-0,01483;
85,459;517,18000;10,00;7,27;-0,01484;
86,468;517,17000;10,00;7,27;-0,01483;
87,472;517,17000;10,00;7,27;-0,01483;
88,481;517,19000;10,00;7,27;-0,01485;
89,481;517,18000;10,00;7,27;-0,01484;
90,482;517,19000;10,00;7,27;-0,01485;
91,485;517,22000;10,00;7,27;-0,01487;
92,490;517,22000;10,00;7,27;-0,01487;
93,497;517,22000;10,00;7,27;-0,01487;
94,503;517,22000;10,00;7,27;-0,01487;
95,510;517,19000;10,00;7,27;-0,01485;
96,514;517,21000;10,00;7,27;-0,01486;
97,519;517,18000;10,00;7,27;-0,01484;
98,525;517,13000;10,00;7,27;-0,01481;
99,526;517,10000;10,00;7,27;-0,01479;
100,531;517,09000;10,00;7,27;-0,01478;
101,535;517,05000;10,00;7,27;-0,01475;
102,541;517,08000;10,00;7,27;-0,01477;
103,549;517,05000;10,00;7,27;-0,01475;
104,550;517,02000;10,00;7,27;-0,01473;
105,553;517,01000;10,00;7,27;-0,01473;
106,558;517,01000;10,00;7,27;-0,01473;
107,569;517,01000;10,00;7,27;-0,01473;
108,574;517,00000;10,00;7,27;-0,01472;
109,578;517,00000;10,00;7,27;-0,01472;
110,584;517,01000;10,00;7,27;-0,01473;
111,585;517,00000;10,00;7,27;-0,01472;
112,591;516,97000;10,00;7,27;-0,01470;
113,599;516,93000;10,00;7,27;-0,01468;
114,600;516,92000;10,00;7,27;-0,01467;
115,610;516,92000;10,00;7,27;-0,01467;
116,618;516,90000;10,00;7,27;-0,01466;
117,618;516,88000;10,00;7,27;-0,01464;
118,623;516,85000;10,00;7,27;-0,01462;
119,625;516,80000;10,00;7,27;-0,01459;
120,636;516,79000;10,00;7,27;-0,01459;
121,637;516,77000;10,00;7,27;-0,01457;
122,644;516,75000;10,00;7,27;-0,01456;
123,648;516,75000;10,00;7,27;-0,01456;
124,652;516,75000;10,00;7,27;-0,01456;
125,658;516,71000;10,00;7,27;-0,01453;
126,664;516,67000;10,00;7,27;-0,01451;
127,671;516,63000;10,00;7,27;-0,01448;
128,677;516,60000;10,00;7,27;-0,01446;
129,680;516,55000;10,00;7,27;-0,01443;
130,689;516,54000;10,00;7,27;-0,01442;
131,690;516,53000;10,00;7,27;-0,01442;
132,697;516,50000;10,00;7,27;-0,01440;
133,703;516,46000;10,00;7,27;-0,01437;
134,708;516,45000;10,00;7,27;-0,01436;
135,709;516,45000;10,00;7,27;-0,01436;
136,714;516,45000;10,00;7,27;-0,01436;
137,715;516,41000;10,00;7,27;-0,01434;
138,720;516,41000;10,00;7,27;-0,01434;
139,725;516,41000;10,00;7,27;-0,01434;
