Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;959,18000;10,0;6,10;;0, 9,5918E+02,2, 1,3652E+00,5, 1,0000E+03
1,001;959,17000;10,0;6,10;;0, 9,5917E+02,2, 1,3652E+00,5, 1,0000E+03
2,002;959,12000;10,0;6,10;;0, 9,5912E+02,2, 1,3652E+00,5, 1,0000E+03
3,012;927,82000;10,0;6,10;;0, 9,2782E+02,2, 1,3652E+00,5, 1,0000E+03
4,017;671,54000;10,0;6,10;;0, 6,7154E+02,2, 1,3652E+00,5, 1,0000E+03
5,025;540,69000;10,0;6,10;;0, 5,4069E+02,2, 1,3652E+00,5, 1,0000E+03
6,031;446,27000;10,0;6,10;;0, 4,4627E+02,2, 1,3652E+00,5, 1,0000E+03
7,034;373,32000;10,0;6,10;;0, 3,7332E+02,2, 1,3652E+00,5, 1,0000E+03
8,043;316,24000;10,0;6,10;;0, 3,1624E+02,2, 1,3652E+00,5, 1,0000E+03
9,051;271,34000;10,0;6,10;;0, 2,7134E+02,2, 1,3652E+00,5, 1,0000E+03
10,060;235,97000;10,0;6,10;;0, 2,3597E+02,2, 1,3652E+00,5, 1,0000E+03
11,068;208,16000;10,0;6,10;;0, 2,0816E+02,2, 1,3652E+00,5, 1,0000E+03
12,076;185,93000;10,0;6,10;;0, 1,8593E+02,2, 1,3652E+00,5, 1,0000E+03
13,083;168,18000;10,0;6,10;;0, 1,6818E+02,2, 1,3652E+00,5, 1,0000E+03
14,091;153,91000;10,0;6,10;;0, 1,5391E+02,2, 1,3652E+00,5, 1,0000E+03
15,096;142,66000;10,0;6,10;;0, 1,4266E+02,2, 1,3652E+00,5, 1,0000E+03
16,103;133,31000;10,0;6,10;;0, 1,3331E+02,2, 1,3652E+00,5, 1,0000E+03
17,113;125,87000;10,0;6,10;;0, 1,2587E+02,2, 1,3652E+00,5, 1,0000E+03
18,113;120,17000;10,0;6,10;;0, 1,2017E+02,2, 1,3652E+00,5, 1,0000E+03
19,118;115,33000;10,0;6,10;;0, 1,1533E+02,2, 1,3652E+00,5, 1,0000E+03
20,126;111,55000;10,0;6,10;;0, 1,1155E+02,2, 1,3652E+00,5, 1,0000E+03
21,133;108,66000;10,0;6,10;;0, 1,0866E+02,2, 1,3652E+00,5, 1,0000E+03
22,143;106,51000;10,0;6,10;;0, 1,0651E+02,2, 1,3652E+00,5, 1,0000E+03
23,153;104,98000;8,28;6,06;;0, 1,0498E+02,2, 1,3652E+00,5, 1,0000E+03
24,154;103,33000;8,41;6,06;;0, 1,0333E+02,2, 1,3652E+00,5, 1,0000E+03
25,154;101,76000;8,56;6,07;;0, 1,0176E+02,2, 1,3652E+00,5, 1,0000E+03
26,163;99,70600;8,70;6,08;;0, 9,9706E+01,2, 1,3652E+00,5, 1,0000E+03
27,172;97,54500;8,88;6,11;;0, 9,7545E+01,2, 1,3652E+00,5, 1,0000E+03
28,182;95,67800;9,07;6,13;;0, 9,5678E+01,2, 1,3652E+00,5, 1,0000E+03
29,192;94,34800;9,24;6,16;;0, 9,4348E+01,2, 1,3652E+00,5, 1,0000E+03
30,193;93,64500;9,36;6,18;;0, 9,3645E+01,2, 1,3652E+00,5, 1,0000E+03
31,196;93,78200;9,42;6,19;;0, 9,3782E+01,2, 1,3652E+00,5, 1,0000E+03
32,197;94,62800;9,41;6,18;;0, 9,4628E+01,2, 1,3652E+00,5, 1,0000E+03
