Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,64000;10,00;2,20;-2,83600;
1,005;966,60000;10,00;2,20;-2,83598;
2,013;966,40000;10,00;2,20;-2,83590;
3,021;945,66000;10,00;2,21;-2,82695;
4,028;677,12000;10,00;2,35;-2,68913;
5,037;530,60000;10,00;2,45;-2,58853;
6,040;424,02000;10,00;2,54;-2,49602;
7,040;340,98000;10,00;2,63;-2,40609;
8,042;275,38000;10,00;2,72;-2,31794;
9,047;223,33000;10,00;2,80;-2,23150;
10,048;181,92000;10,00;2,89;-2,14689;
11,054;148,91000;10,00;2,97;-2,06428;
12,061;121,93000;10,00;3,05;-1,98181;
13,064;100,14000;10,00;3,14;-1,90058;
14,072;82,41100;10,00;3,22;-1,82019;
15,082;67,93500;10,00;3,30;-1,74049;
16,092;56,33100;10,00;3,37;-1,66321;
17,096;46,61600;10,00;3,45;-1,58511;
18,101;38,65500;10,00;3,53;-1,50785;
19,107;32,25000;10,00;3,60;-1,43310;
20,113;26,86500;10,00;3,68;-1,35773;
21,117;22,39000;10,00;3,75;-1,28255;
22,123;18,87700;10,00;3,82;-1,21214;
23,131;16,05000;10,00;3,89;-1,14520;
24,132;13,58800;10,00;3,96;-1,07650;
25,133;12,04900;10,00;4,01;-1,02690;
26,136;10,64800;10,00;4,06;-0,97590;
27,146;9,25420;10,00;4,12;-0,91802;
28,146;8,03290;10,00;4,18;-0,85963;
29,151;6,98160;10,00;4,23;-0,80176;
30,153;6,10820;10,00;4,29;-0,74662;
31,158;5,35320;10,00;4,34;-0,69218;
32,166;4,76910;10,00;4,39;-0,64451;
33,166;4,24250;10,00;4,44;-0,59624;
34,175;3,78530;10,00;4,49;-0,54920;
35,179;3,42310;10,00;4,53;-0,50770;
36,182;3,11170;10,00;4,57;-0,46835;
37,192;2,88990;10,00;4,60;-0,43784;
38,199;2,68480;10,00;4,63;-0,40747;
39,199;2,52530;10,00;4,65;-0,38220;
40,206;2,45190;10,00;4,67;-0,37003;
41,213;2,41720;10,00;4,67;-0,36415;
42,222;2,36660;10,00;4,68;-0,35542;
43,222;2,29270;10,00;4,69;-0,34233;
44,230;2,22110;10,00;4,71;-0,32924;
45,233;2,16040;10,00;4,72;-0,31781;
46,236;2,14410;10,00;4,72;-0,31468;
47,246;2,14230;10,00;4,72;-0,31434;
48,251;2,16730;10,00;4,72;-0,31912;
49,256;2,22050;10,00;4,71;-0,32913;
50,257;2,24610;10,00;4,70;-0,33386;
51,259;2,27520;10,00;4,70;-0,33917;
52,260;2,33100;10,00;4,69;-0,34917;
53,267;2,35510;10,00;4,68;-0,35341;
54,274;2,35450;10,00;4,68;-0,35330;
55,284;2,35780;10,00;4,68;-0,35388;
56,284;2,32980;10,00;4,69;-0,34895;
57,286;2,25090;10,00;4,70;-0,33474;
58,295;2,16390;10,00;4,72;-0,31848;
59,303;2,07300;10,00;4,74;-0,30077;
60,305;2,01960;10,00;4,75;-0,29000;
61,307;1,98030;10,00;4,75;-0,28189;
62,311;1,99790;10,00;4,75;-0,28555;
63,313;2,03300;10,00;4,74;-0,29273;
64,316;2,12150;10,00;4,73;-0,31031;
65,320;2,21320;10,00;4,71;-0,32777;
66,322;2,30280;10,00;4,69;-0,34414;
67,327;2,37700;10,00;4,68;-0,35723;
68,333;2,41390;10,00;4,67;-0,36358;
69,338;2,40140;10,00;4,67;-0,36144;
70,346;2,37660;10,00;4,68;-0,35716;
71,346;2,29770;10,00;4,69;-0,34323;
72,356;2,19030;10,00;4,71;-0,32348;
73,357;2,08500;10,00;4,73;-0,30315;
74,360;2,00940;10,00;4,75;-0,28791;
75,366;1,95570;10,00;4,76;-0,27674;
76,370;1,93190;10,00;4,76;-0,27169;
77,371;1,94970;10,00;4,76;-0,27547;
78,372;1,98960;10,00;4,75;-0,28383;
79,380;2,06660;10,00;4,74;-0,29949;
80,385;2,13220;10,00;4,72;-0,31239;
81,387;2,21300;10,00;4,71;-0,32773;
82,387;2,27990;10,00;4,70;-0,34002;
83,388;2,34490;10,00;4,68;-0,35162;
84,392;2,37450;10,00;4,68;-0,35679;
85,401;2,35600;10,00;4,68;-0,35357;
86,406;2,29770;10,00;4,69;-0,34323;
87,410;2,19880;10,00;4,71;-0,32508;
88,415;2,05520;10,00;4,74;-0,29721;
89,416;1,96010;10,00;4,76;-0,27766;
90,417;1,93190;10,00;4,76;-0,27169;
91,422;1,88870;10,00;4,77;-0,26235;
92,430;1,88390;10,00;4,77;-0,26130;
93,431;1,88530;10,00;4,77;-0,26161;
94,439;1,92070;10,00;4,77;-0,26929;
95,443;1,93980;10,00;4,76;-0,27337;
96,452;1,99820;10,00;4,75;-0,28561;
97,454;2,07920;10,00;4,73;-0,30200;
98,460;2,14690;10,00;4,72;-0,31522;
99,468;2,21160;10,00;4,71;-0,32747;
100,478;2,27850;10,00;4,70;-0,33977;
101,482;2,31210;10,00;4,69;-0,34581;
102,487;2,31320;10,00;4,69;-0,34600;
103,491;2,26290;10,00;4,70;-0,33693;
104,493;2,19850;10,00;4,71;-0,32502;
105,498;2,08530;10,00;4,73;-0,30321;
106,499;1,98770;10,00;4,75;-0,28343;
107,501;1,93640;10,00;4,76;-0,27265;
108,502;1,89770;10,00;4,77;-0,26432;
109,505;1,88720;10,00;4,77;-0,26203;
110,513;1,89090;10,00;4,77;-0,26284;
111,515;1,88550;10,00;4,77;-0,26166;
112,516;1,91570;10,00;4,77;-0,26821;
113,518;1,92820;10,00;4,77;-0,27089;
114,521;1,96640;10,00;4,76;-0,27899;
115,529;1,98300;10,00;4,75;-0,28246;
116,540;2,03580;10,00;4,74;-0,29330;
117,550;2,08160;10,00;4,73;-0,30248;
118,552;2,13410;10,00;4,72;-0,31275;
119,557;2,17230;10,00;4,72;-0,32007;
120,565;2,20000;10,00;4,71;-0,32530;
121,571;2,20440;10,00;4,71;-0,32613;
122,575;2,18330;10,00;4,71;-0,32216;
123,585;2,16900;10,00;4,72;-0,31945;
124,587;2,14990;10,00;4,72;-0,31580;
125,592;2,07300;10,00;4,74;-0,30077;
126,601;2,00520;10,00;4,75;-0,28705;
127,606;1,97510;10,00;4,76;-0,28081;
128,612;1,93110;10,00;4,76;-0,27151;
129,614;1,92660;10,00;4,77;-0,27055;
130,620;1,92550;10,00;4,77;-0,27032;
