Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;958,54000;10,0;0.0;;0, 9,5854E+02,2, 1,3652E+00,5, 1,0000E+03
1,002;958,55000;10,0;0.0;;0, 9,5855E+02,2, 1,3652E+00,5, 1,0000E+03
2,010;958,39000;10,0;0.0;;0, 9,5839E+02,2, 1,3652E+00,5, 1,0000E+03
3,010;933,97000;10,0;0.0;;0, 9,3397E+02,2, 1,3652E+00,5, 1,0000E+03
4,011;713,14000;10,0;0.0;;0, 7,1314E+02,2, 1,3652E+00,5, 1,0000E+03
5,021;623,40000;10,0;0.0;;0, 6,2340E+02,2, 1,3652E+00,5, 1,0000E+03
6,023;564,35000;10,0;0.0;;0, 5,6435E+02,2, 1,3652E+00,5, 1,0000E+03
7,031;520,45000;10,0;0.0;;0, 5,2045E+02,2, 1,3652E+00,5, 1,0000E+03
8,031;487,15000;10,0;0.0;;0, 4,8715E+02,2, 1,3652E+00,5, 1,0000E+03
9,036;461,40000;10,0;0.0;;0, 4,6140E+02,2, 1,3652E+00,5, 1,0000E+03
10,038;441,39000;10,0;0.0;;0, 4,4139E+02,2, 1,3652E+00,5, 1,0000E+03
11,041;425,99000;10,0;0.0;;0, 4,2599E+02,2, 1,3652E+00,5, 1,0000E+03
12,046;414,05000;10,0;0.0;;0, 4,1405E+02,2, 1,3652E+00,5, 1,0000E+03
13,046;404,55000;5,48;7,20;;0, 4,0455E+02,2, 1,3652E+00,5, 1,0000E+03
14,056;397,17000;5,46;7,20;;0, 3,9717E+02,2, 1,3652E+00,5, 1,0000E+03
15,058;407,46000;5,52;7,20;;0, 4,0746E+02,2, 1,3652E+00,5, 1,0000E+03
16,063;488,79000;6,62;7,19;;0, 4,8879E+02,2, 1,3652E+00,5, 1,0000E+03
17,069;582,26000;7,89;7,18;;0, 5,8226E+02,2, 1,3652E+00,5, 1,0000E+03
18,077;668,80000;9,06;7,17;;0, 6,6880E+02,2, 1,3652E+00,5, 1,0000E+03
19,087;745,92000;10,00;7,16;;0, 7,4592E+02,2, 1,3652E+00,5, 1,0000E+03
20,089;809,19000;10,00;7,16;;0, 8,0919E+02,2, 1,3652E+00,5, 1,0000E+03
21,091;858,89000;10,00;7,15;;0, 8,5889E+02,2, 1,3652E+00,5, 1,0000E+03
22,091;895,15000;10,00;7,15;;0, 8,9515E+02,2, 1,3652E+00,5, 1,0000E+03
23,094;920,24000;10,00;7,14;;0, 9,2024E+02,2, 1,3652E+00,5, 1,0000E+03
24,101;936,80000;10,00;7,14;;0, 9,3680E+02,2, 1,3652E+00,5, 1,0000E+03
