Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;9,39000;10,0;5,18;;0, 9,3900E+00,2, 1,3652E+00,5, 1,0000E+03
1,005;9,39080;10,0;5,18;;0, 9,3908E+00,2, 1,3652E+00,5, 1,0000E+03
2,012;9,38990;10,0;5,18;;0, 9,3899E+00,2, 1,3652E+00,5, 1,0000E+03
3,014;9,38870;10,0;5,18;;0, 9,3887E+00,2, 1,3652E+00,5, 1,0000E+03
4,023;9,38420;10,0;5,18;;0, 9,3842E+00,2, 1,3652E+00,5, 1,0000E+03
5,023;9,38300;10,0;5,18;;0, 9,3830E+00,2, 1,3652E+00,5, 1,0000E+03
6,024;9,41590;10,0;5,18;;0, 9,4159E+00,2, 1,3652E+00,5, 1,0000E+03
7,032;9,39160;10,0;5,18;;0, 9,3916E+00,2, 1,3652E+00,5, 1,0000E+03
8,035;9,46770;10,0;5,18;;0, 9,4677E+00,2, 1,3652E+00,5, 1,0000E+03
9,038;9,80310;10,0;5,18;;0, 9,8031E+00,2, 1,3652E+00,5, 1,0000E+03
10,048;9,79810;10,0;5,18;;0, 9,7981E+00,2, 1,3652E+00,5, 1,0000E+03
11,049;9,51810;10,0;5,18;;0, 9,5181E+00,2, 1,3652E+00,5, 1,0000E+03
12,050;9,21100;10,0;5,18;;0, 9,2110E+00,2, 1,3652E+00,5, 1,0000E+03
13,060;8,89270;10,0;5,18;;0, 8,8927E+00,2, 1,3652E+00,5, 1,0000E+03
14,061;8,65780;10,0;5,18;;0, 8,6578E+00,2, 1,3652E+00,5, 1,0000E+03
15,071;8,47060;10,0;5,18;;0, 8,4706E+00,2, 1,3652E+00,5, 1,0000E+03
16,079;8,27340;10,0;5,18;;0, 8,2734E+00,2, 1,3652E+00,5, 1,0000E+03
17,087;8,14850;10,0;5,18;;0, 8,1485E+00,2, 1,3652E+00,5, 1,0000E+03
18,094;8,05440;10,0;5,18;;0, 8,0544E+00,2, 1,3652E+00,5, 1,0000E+03
19,095;7,93590;10,0;5,18;;0, 7,9359E+00,2, 1,3652E+00,5, 1,0000E+03
20,104;7,81160;10,0;5,18;;0, 7,8116E+00,2, 1,3652E+00,5, 1,0000E+03
21,114;7,71540;10,0;5,18;;0, 7,7154E+00,2, 1,3652E+00,5, 1,0000E+03
22,123;7,64610;10,0;5,18;;0, 7,6461E+00,2, 1,3652E+00,5, 1,0000E+03
23,133;7,60930;10,0;5,18;;0, 7,6093E+00,2, 1,3652E+00,5, 1,0000E+03
24,142;7,57800;10,0;5,18;;0, 7,5780E+00,2, 1,3652E+00,5, 1,0000E+03
25,148;7,54280;10,0;5,18;;0, 7,5428E+00,2, 1,3652E+00,5, 1,0000E+03
26,155;7,48370;10,0;5,18;;0, 7,4837E+00,2, 1,3652E+00,5, 1,0000E+03
27,165;7,43770;10,0;5,18;;0, 7,4377E+00,2, 1,3652E+00,5, 1,0000E+03
28,173;7,39190;10,0;5,18;;0, 7,3919E+00,2, 1,3652E+00,5, 1,0000E+03
