Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
25,085;964,68000;2,00;8,00;;b'0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
26,086;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
27,086;964,68000;2,00;8,00;;b'0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
28,088;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
29,089;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
30,089;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
31,090;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
32,091;964,64000;2,00;8,00;;b'0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
33,091;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
34,092;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
35,093;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
