Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
1,009;347,78000;10,0;0.0;;0, 3,4778E+02,2, 1,3652E+00,5, 1,0000E+03
2,017;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
3,027;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
4,030;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
5,031;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
6,031;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
7,032;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
8,042;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
9,045;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
10,047;347,78000;10,0;0.0;;0, 3,4778E+02,2, 1,3652E+00,5, 1,0000E+03
11,052;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
12,056;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
13,066;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
14,073;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
15,074;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
16,077;347,76000;10,0;0.0;;0, 3,4776E+02,2, 1,3652E+00,5, 1,0000E+03
17,080;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
18,089;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
19,095;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
20,100;347,77000;10,0;0.0;;0, 3,4777E+02,2, 1,3652E+00,5, 1,0000E+03
21,106;347,78000;10,0;0.0;;0, 3,4778E+02,2, 1,3652E+00,5, 1,0000E+03
22,112;347,78000;10,0;0.0;;0, 3,4778E+02,2, 1,3652E+00,5, 1,0000E+03
23,116;347,79000;10,0;0.0;;0, 3,4779E+02,2, 1,3652E+00,5, 1,0000E+03
24,118;347,78000;10,0;0.0;;0, 3,4778E+02,2, 1,3652E+00,5, 1,0000E+03
25,118;347,80000;10,0;0.0;;0, 3,4780E+02,2, 1,3652E+00,5, 1,0000E+03
26,122;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
27,122;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
28,124;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
29,134;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
30,144;347,82000;10,0;0.0;;0, 3,4782E+02,2, 1,3652E+00,5, 1,0000E+03
31,145;347,82000;10,0;0.0;;0, 3,4782E+02,2, 1,3652E+00,5, 1,0000E+03
32,150;347,80000;10,0;0.0;;0, 3,4780E+02,2, 1,3652E+00,5, 1,0000E+03
33,153;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
34,153;347,81000;10,0;0.0;;0, 3,4781E+02,2, 1,3652E+00,5, 1,0000E+03
35,153;347,80000;10,0;0.0;;0, 3,4780E+02,2, 1,3652E+00,5, 1,0000E+03
