Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;947,73000;10,0;0.0;;0, 9,4773E+02,2, 1,3652E+00,5, 1,0000E+03
1,004;947,70000;10,0;0.0;;0, 9,4770E+02,2, 1,3652E+00,5, 1,0000E+03
2,013;947,68000;10,0;0.0;;0, 9,4768E+02,2, 1,3652E+00,5, 1,0000E+03
3,015;947,65000;10,0;0.0;;0, 9,4765E+02,2, 1,3652E+00,5, 1,0000E+03
4,024;947,64000;10,0;0.0;;0, 9,4764E+02,2, 1,3652E+00,5, 1,0000E+03
5,031;947,62000;10,0;0.0;;0, 9,4762E+02,2, 1,3652E+00,5, 1,0000E+03
6,033;947,58000;10,0;0.0;;0, 9,4758E+02,2, 1,3652E+00,5, 1,0000E+03
7,034;947,27000;10,0;0.0;;0, 9,4727E+02,2, 1,3652E+00,5, 1,0000E+03
8,043;830,24000;10,0;0.0;;0, 8,3024E+02,2, 1,3652E+00,5, 1,0000E+03
9,047;642,68000;10,0;0.0;;0, 6,4268E+02,2, 1,3652E+00,5, 1,0000E+03
10,051;548,23000;10,0;0.0;;0, 5,4823E+02,2, 1,3652E+00,5, 1,0000E+03
11,059;480,51000;10,0;0.0;;0, 4,8051E+02,2, 1,3652E+00,5, 1,0000E+03
12,061;429,41000;10,0;0.0;;0, 4,2941E+02,2, 1,3652E+00,5, 1,0000E+03
13,070;390,43000;10,0;0.0;;0, 3,9043E+02,2, 1,3652E+00,5, 1,0000E+03
14,077;360,77000;5,81;6,94;;0, 3,6077E+02,2, 1,3652E+00,5, 1,0000E+03
15,083;337,60000;6,11;6,95;;0, 3,3760E+02,2, 1,3652E+00,5, 1,0000E+03
16,086;319,50000;6,35;6,95;;0, 3,1950E+02,2, 1,3652E+00,5, 1,0000E+03
17,095;305,75000;6,54;6,95;;0, 3,0575E+02,2, 1,3652E+00,5, 1,0000E+03
18,103;294,82000;6,68;6,96;;0, 2,9482E+02,2, 1,3652E+00,5, 1,0000E+03
19,108;286,20000;6,79;6,96;;0, 2,8620E+02,2, 1,3652E+00,5, 1,0000E+03
20,110;279,70000;6,88;6,96;;0, 2,7970E+02,2, 1,3652E+00,5, 1,0000E+03
21,112;275,06000;6,94;6,96;;0, 2,7506E+02,2, 1,3652E+00,5, 1,0000E+03
22,119;272,02000;6,98;6,96;;0, 2,7202E+02,2, 1,3652E+00,5, 1,0000E+03
23,121;270,03000;7,01;6,96;;0, 2,7003E+02,2, 1,3652E+00,5, 1,0000E+03
24,124;268,98000;7,02;6,96;;0, 2,6898E+02,2, 1,3652E+00,5, 1,0000E+03
25,132;267,84000;7,04;6,96;;0, 2,6784E+02,2, 1,3652E+00,5, 1,0000E+03
26,132;266,65000;7,05;6,96;;0, 2,6665E+02,2, 1,3652E+00,5, 1,0000E+03
27,138;265,66000;7,07;6,96;;0, 2,6566E+02,2, 1,3652E+00,5, 1,0000E+03
28,143;264,90000;7,08;6,96;;0, 2,6490E+02,2, 1,3652E+00,5, 1,0000E+03
29,143;264,34000;7,08;6,97;;0, 2,6434E+02,2, 1,3652E+00,5, 1,0000E+03
30,149;263,95000;7,09;6,97;;0, 2,6395E+02,2, 1,3652E+00,5, 1,0000E+03
31,150;263,59000;7,09;6,97;;0, 2,6359E+02,2, 1,3652E+00,5, 1,0000E+03
32,159;263,32000;7,10;6,97;;0, 2,6332E+02,2, 1,3652E+00,5, 1,0000E+03
33,166;263,03000;7,10;6,97;;0, 2,6303E+02,2, 1,3652E+00,5, 1,0000E+03
34,167;262,65000;7,11;6,97;;0, 2,6265E+02,2, 1,3652E+00,5, 1,0000E+03
35,172;262,41000;7,11;6,97;;0, 2,6241E+02,2, 1,3652E+00,5, 1,0000E+03
36,178;262,27000;7,11;6,97;;0, 2,6227E+02,2, 1,3652E+00,5, 1,0000E+03
37,184;262,15000;7,11;6,97;;0, 2,6215E+02,2, 1,3652E+00,5, 1,0000E+03
38,188;262,19000;7,11;6,97;;0, 2,6219E+02,2, 1,3652E+00,5, 1,0000E+03
39,192;262,56000;7,11;6,97;;0, 2,6256E+02,2, 1,3652E+00,5, 1,0000E+03
40,194;262,92000;7,10;6,97;;0, 2,6292E+02,2, 1,3652E+00,5, 1,0000E+03
41,200;263,18000;7,10;6,97;;0, 2,6318E+02,2, 1,3652E+00,5, 1,0000E+03
42,203;263,34000;7,10;6,97;;0, 2,6334E+02,2, 1,3652E+00,5, 1,0000E+03
43,210;263,52000;7,09;6,97;;0, 2,6352E+02,2, 1,3652E+00,5, 1,0000E+03
44,218;263,63000;7,09;6,97;;0, 2,6363E+02,2, 1,3652E+00,5, 1,0000E+03
45,222;263,69000;7,09;6,97;;0, 2,6369E+02,2, 1,3652E+00,5, 1,0000E+03
46,227;263,83000;7,09;6,97;;0, 2,6383E+02,2, 1,3652E+00,5, 1,0000E+03
47,234;263,92000;7,09;6,97;;0, 2,6392E+02,2, 1,3652E+00,5, 1,0000E+03
48,243;263,99000;7,09;6,97;;0, 2,6399E+02,2, 1,3652E+00,5, 1,0000E+03
49,253;263,98000;7,09;6,97;;0, 2,6398E+02,2, 1,3652E+00,5, 1,0000E+03
50,260;263,94000;7,09;6,97;;0, 2,6394E+02,2, 1,3652E+00,5, 1,0000E+03
51,261;263,92000;7,09;6,97;;0, 2,6392E+02,2, 1,3652E+00,5, 1,0000E+03
52,265;263,92000;7,09;6,97;;0, 2,6392E+02,2, 1,3652E+00,5, 1,0000E+03
53,265;263,92000;7,09;6,97;;0, 2,6392E+02,2, 1,3652E+00,5, 1,0000E+03
54,269;263,91000;7,09;6,97;;0, 2,6391E+02,2, 1,3652E+00,5, 1,0000E+03
55,275;263,92000;7,09;6,97;;0, 2,6392E+02,2, 1,3652E+00,5, 1,0000E+03
56,281;263,94000;7,09;6,97;;0, 2,6394E+02,2, 1,3652E+00,5, 1,0000E+03
57,288;263,96000;7,09;6,97;;0, 2,6396E+02,2, 1,3652E+00,5, 1,0000E+03
58,296;264,02000;7,09;6,97;;0, 2,6402E+02,2, 1,3652E+00,5, 1,0000E+03
59,297;264,08000;7,09;6,97;;0, 2,6408E+02,2, 1,3652E+00,5, 1,0000E+03
60,307;264,03000;7,09;6,97;;0, 2,6403E+02,2, 1,3652E+00,5, 1,0000E+03
61,317;264,00000;7,09;6,97;;0, 2,6400E+02,2, 1,3652E+00,5, 1,0000E+03
62,320;263,99000;7,09;6,97;;0, 2,6399E+02,2, 1,3652E+00,5, 1,0000E+03
63,328;264,05000;7,09;6,97;;0, 2,6405E+02,2, 1,3652E+00,5, 1,0000E+03
64,336;264,11000;7,09;6,97;;0, 2,6411E+02,2, 1,3652E+00,5, 1,0000E+03
65,342;264,06000;7,09;6,97;;0, 2,6406E+02,2, 1,3652E+00,5, 1,0000E+03
66,349;264,01000;7,09;6,97;;0, 2,6401E+02,2, 1,3652E+00,5, 1,0000E+03
67,358;264,04000;7,09;6,97;;0, 2,6404E+02,2, 1,3652E+00,5, 1,0000E+03
68,367;264,07000;7,09;6,97;;0, 2,6407E+02,2, 1,3652E+00,5, 1,0000E+03
69,377;264,07000;7,09;6,97;;0, 2,6407E+02,2, 1,3652E+00,5, 1,0000E+03
70,377;264,01000;7,09;6,97;;0, 2,6401E+02,2, 1,3652E+00,5, 1,0000E+03
71,387;263,97000;7,09;6,97;;0, 2,6397E+02,2, 1,3652E+00,5, 1,0000E+03
