Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;958,99000;10,0;0.0;;0, 9,5899E+02,2, 1,3652E+00,5, 1,0000E+03
1,008;958,96000;10,0;0.0;;0, 9,5896E+02,2, 1,3652E+00,5, 1,0000E+03
2,017;958,95000;10,0;0.0;;0, 9,5895E+02,2, 1,3652E+00,5, 1,0000E+03
3,022;958,95000;10,0;0.0;;0, 9,5895E+02,2, 1,3652E+00,5, 1,0000E+03
4,027;958,95000;10,0;0.0;;0, 9,5895E+02,2, 1,3652E+00,5, 1,0000E+03
5,028;958,95000;10,0;0.0;;0, 9,5895E+02,2, 1,3652E+00,5, 1,0000E+03
6,034;958,96000;10,0;0.0;;0, 9,5896E+02,2, 1,3652E+00,5, 1,0000E+03
7,037;958,96000;10,0;0.0;;0, 9,5896E+02,2, 1,3652E+00,5, 1,0000E+03
8,047;958,97000;10,0;0.0;;0, 9,5897E+02,2, 1,3652E+00,5, 1,0000E+03
9,055;958,95000;10,0;0.0;;0, 9,5895E+02,2, 1,3652E+00,5, 1,0000E+03
10,060;958,93000;10,0;0.0;;0, 9,5893E+02,2, 1,3652E+00,5, 1,0000E+03
11,064;958,79000;10,0;0.0;;0, 9,5879E+02,2, 1,3652E+00,5, 1,0000E+03
12,067;947,07000;10,0;0.0;;0, 9,4707E+02,2, 1,3652E+00,5, 1,0000E+03
13,071;723,72000;10,0;0.0;;0, 7,2372E+02,2, 1,3652E+00,5, 1,0000E+03
14,077;625,95000;10,0;0.0;;0, 6,2595E+02,2, 1,3652E+00,5, 1,0000E+03
15,083;563,65000;10,0;0.0;;0, 5,6365E+02,2, 1,3652E+00,5, 1,0000E+03
16,084;517,60000;10,0;0.0;;0, 5,1760E+02,2, 1,3652E+00,5, 1,0000E+03
17,093;482,79000;10,0;0.0;;0, 4,8279E+02,2, 1,3652E+00,5, 1,0000E+03
18,103;456,01000;10,0;0.0;;0, 4,5601E+02,2, 1,3652E+00,5, 1,0000E+03
19,112;435,35000;10,0;0.0;;0, 4,3535E+02,2, 1,3652E+00,5, 1,0000E+03
20,113;419,46000;10,0;0.0;;0, 4,1946E+02,2, 1,3652E+00,5, 1,0000E+03
21,114;407,25000;5,32;7,20;;0, 4,0725E+02,2, 1,3652E+00,5, 1,0000E+03
22,120;397,54000;5,45;7,20;;0, 3,9754E+02,2, 1,3652E+00,5, 1,0000E+03
23,129;389,95000;5,55;7,21;;0, 3,8995E+02,2, 1,3652E+00,5, 1,0000E+03
24,132;384,23000;5,63;7,21;;0, 3,8423E+02,2, 1,3652E+00,5, 1,0000E+03
25,140;379,55000;5,69;7,21;;0, 3,7955E+02,2, 1,3652E+00,5, 1,0000E+03
26,146;375,98000;5,74;7,21;;0, 3,7598E+02,2, 1,3652E+00,5, 1,0000E+03
27,153;373,26000;5,78;7,21;;0, 3,7326E+02,2, 1,3652E+00,5, 1,0000E+03
28,155;371,32000;5,81;7,21;;0, 3,7132E+02,2, 1,3652E+00,5, 1,0000E+03
29,161;369,84000;5,83;7,21;;0, 3,6984E+02,2, 1,3652E+00,5, 1,0000E+03
30,168;368,35000;5,85;7,21;;0, 3,6835E+02,2, 1,3652E+00,5, 1,0000E+03
31,175;367,06000;5,86;7,21;;0, 3,6706E+02,2, 1,3652E+00,5, 1,0000E+03
