Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;965,95000;10,00;0,83;-4,13651;
1,003;965,95000;10,00;0,83;-4,13651;
2,010;965,95000;10,00;0,83;-4,13651;
3,015;965,96000;10,00;0,83;-4,13651;
4,021;965,95000;10,00;0,83;-4,13651;
5,024;965,95000;10,00;0,83;-4,13651;
6,028;965,95000;10,00;0,83;-4,13651;
7,033;965,95000;10,00;0,83;-4,13651;
8,034;965,99000;10,00;0,83;-4,13653;
9,034;965,99000;10,00;0,83;-4,13653;
10,039;966,00000;10,00;0,83;-4,13653;
11,044;965,99000;10,00;0,83;-4,13653;
12,053;965,99000;10,00;0,83;-4,13653;
13,060;966,02000;10,00;0,83;-4,13654;
14,067;966,04000;10,00;0,83;-4,13655;
15,073;966,04000;10,00;0,83;-4,13655;
16,080;966,04000;10,00;0,83;-4,13655;
17,087;966,04000;10,00;0,83;-4,13655;
18,098;966,04000;10,00;0,83;-4,13655;
19,098;966,04000;10,00;0,83;-4,13655;
20,100;966,04000;10,00;0,83;-4,13655;
21,101;966,04000;10,00;0,83;-4,13655;
22,102;966,08000;10,00;0,83;-4,13657;
23,108;966,08000;10,00;0,83;-4,13657;
24,108;966,08000;10,00;0,83;-4,13657;
25,112;966,12000;10,00;0,83;-4,13659;
26,116;966,13000;10,00;0,83;-4,13659;
27,117;966,13000;10,00;0,83;-4,13659;
28,120;966,13000;10,00;0,83;-4,13659;
29,123;966,13000;10,00;0,83;-4,13659;
30,126;966,16000;10,00;0,83;-4,13660;
31,128;966,17000;10,00;0,83;-4,13661;
32,128;966,17000;10,00;0,83;-4,13661;
33,131;966,17000;10,00;0,83;-4,13661;
34,135;966,17000;10,00;0,83;-4,13661;
35,137;966,17000;10,00;0,83;-4,13661;
36,138;966,16000;10,00;0,83;-4,13660;
37,141;965,95000;10,00;0,83;-4,13651;
38,150;837,20000;10,00;0,90;-4,07202;
39,160;616,42000;10,00;1,04;-3,93401;
40,168;488,35000;10,00;1,14;-3,82902;
41,176;391,29000;10,00;1,24;-3,72913;
42,182;315,13000;10,00;1,34;-3,63154;
43,184;254,87000;10,00;1,43;-3,53586;
44,191;207,02000;10,00;1,53;-3,44212;
45,201;169,01000;10,00;1,62;-3,35067;
46,207;138,20000;10,00;1,71;-3,25994;
47,213;113,21000;10,00;1,80;-3,17003;
