Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;956,39000;10,0;0.0;;0, 9,5639E+02,2, 1,3652E+00,5, 1,0000E+03
1,000;956,41000;10,0;0.0;;0, 9,5641E+02,2, 1,3652E+00,5, 1,0000E+03
2,003;956,44000;10,0;0.0;;0, 9,5644E+02,2, 1,3652E+00,5, 1,0000E+03
3,007;956,48000;10,0;0.0;;0, 9,5648E+02,2, 1,3652E+00,5, 1,0000E+03
4,014;956,51000;10,0;0.0;;0, 9,5651E+02,2, 1,3652E+00,5, 1,0000E+03
5,023;956,55000;10,0;0.0;;0, 9,5655E+02,2, 1,3652E+00,5, 1,0000E+03
6,025;956,56000;10,0;0.0;;0, 9,5656E+02,2, 1,3652E+00,5, 1,0000E+03
7,030;956,58000;10,0;0.0;;0, 9,5658E+02,2, 1,3652E+00,5, 1,0000E+03
8,040;956,60000;10,0;0.0;;0, 9,5660E+02,2, 1,3652E+00,5, 1,0000E+03
9,048;956,63000;10,0;0.0;;0, 9,5663E+02,2, 1,3652E+00,5, 1,0000E+03
10,054;956,64000;10,0;0.0;;0, 9,5664E+02,2, 1,3652E+00,5, 1,0000E+03
11,055;956,67000;10,0;0.0;;0, 9,5667E+02,2, 1,3652E+00,5, 1,0000E+03
12,061;956,48000;10,0;0.0;;0, 9,5648E+02,2, 1,3652E+00,5, 1,0000E+03
13,062;892,50000;10,0;0.0;;0, 8,9250E+02,2, 1,3652E+00,5, 1,0000E+03
14,063;693,33000;10,0;0.0;;0, 6,9333E+02,2, 1,3652E+00,5, 1,0000E+03
15,065;610,62000;10,0;0.0;;0, 6,1062E+02,2, 1,3652E+00,5, 1,0000E+03
16,069;554,06000;10,0;0.0;;0, 5,5406E+02,2, 1,3652E+00,5, 1,0000E+03
17,079;511,78000;10,0;0.0;;0, 5,1178E+02,2, 1,3652E+00,5, 1,0000E+03
18,088;479,70000;10,0;0.0;;0, 4,7970E+02,2, 1,3652E+00,5, 1,0000E+03
19,092;454,83000;10,0;0.0;;0, 4,5483E+02,2, 1,3652E+00,5, 1,0000E+03
20,098;435,55000;10,0;0.0;;0, 4,3555E+02,2, 1,3652E+00,5, 1,0000E+03
21,102;420,79000;10,0;0.0;;0, 4,2079E+02,2, 1,3652E+00,5, 1,0000E+03
22,104;409,24000;10,0;0.0;;0, 4,0924E+02,2, 1,3652E+00,5, 1,0000E+03
23,106;400,12000;5,42;7,20;;0, 4,0012E+02,2, 1,3652E+00,5, 1,0000E+03
24,114;393,08000;5,51;7,21;;0, 3,9308E+02,2, 1,3652E+00,5, 1,0000E+03
25,116;387,77000;5,58;7,21;;0, 3,8777E+02,2, 1,3652E+00,5, 1,0000E+03
26,124;383,39000;5,64;7,21;;0, 3,8339E+02,2, 1,3652E+00,5, 1,0000E+03
27,129;380,19000;5,69;7,21;;0, 3,8019E+02,2, 1,3652E+00,5, 1,0000E+03
28,139;377,53000;5,72;7,21;;0, 3,7753E+02,2, 1,3652E+00,5, 1,0000E+03
29,145;375,91000;5,74;7,21;;0, 3,7591E+02,2, 1,3652E+00,5, 1,0000E+03
30,155;374,40000;5,76;7,21;;0, 3,7440E+02,2, 1,3652E+00,5, 1,0000E+03
31,157;372,97000;5,78;7,21;;0, 3,7297E+02,2, 1,3652E+00,5, 1,0000E+03
32,160;371,77000;5,80;7,21;;0, 3,7177E+02,2, 1,3652E+00,5, 1,0000E+03
33,165;370,75000;5,81;7,21;;0, 3,7075E+02,2, 1,3652E+00,5, 1,0000E+03
34,169;369,96000;5,82;7,21;;0, 3,6996E+02,2, 1,3652E+00,5, 1,0000E+03
