Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,96000;10,00;0,00;-13,92510;
1,007;966,96000;10,00;0,00;-13,92510;
2,010;966,73000;10,00;0,00;-13,92474;
3,016;856,32000;10,00;0,00;-13,74071;
4,024;625,34000;10,00;0,00;-13,26371;
5,029;495,06000;10,00;0,00;-12,90921;
6,034;396,74000;10,00;0,00;-12,57325;
7,038;319,51000;10,00;0,00;-12,24474;
8,039;258,42000;10,00;0,00;-11,92274;
9,048;209,93000;10,00;0,00;-11,60739;
10,050;171,45000;10,00;0,00;-11,30014;
11,059;140,24000;10,00;0,00;-10,99523;
12,062;114,87000;10,00;0,00;-10,69242;
13,063;94,43700;10,00;0,00;-10,39521;
14,067;77,73800;10,00;0,00;-10,09993;
15,076;64,32400;10,00;0,00;-9,81251;
16,078;53,18600;10,00;0,00;-9,52399;
17,085;44,02700;10,00;0,00;-9,23721;
18,087;36,47600;10,00;0,00;-8,95170;
19,095;30,49600;10,00;0,00;-8,67999;
20,099;25,37900;10,00;0,00;-8,40128;
21,110;21,17700;10,00;0,00;-8,12662;
22,113;17,98900;10,00;0,00;-7,87904;
23,119;15,23100;10,00;0,00;-7,62650;
24,126;13,02400;10,00;0,00;-7,38896;
25,136;11,65200;10,00;0,00;-7,22004;
26,144;10,20800;10,00;0,00;-7,01928;
27,149;8,84870;10,00;0,00;-6,80244;
28,152;7,68130;10,00;0,00;-6,58775;
29,156;6,69080;10,00;0,00;-6,37826;
30,165;5,82430;10,00;0,00;-6,16780;
31,169;5,09660;10,00;0,00;-5,96527;
32,174;4,52090;10,00;0,00;-5,78339;
33,178;3,97740;10,00;0,00;-5,58903;
34,185;3,52080;10,00;0,00;-5,40400;
35,186;3,12870;10,00;0,00;-5,22483;
36,188;2,80450;10,00;0,00;-5,05884;
37,192;2,55290;10,00;0,05;-4,91620;
38,198;2,27280;10,00;0,23;-4,73985;
39,208;2,00860;10,00;0,42;-4,55234;
40,210;1,79720;10,00;0,59;-4,38359;
41,219;1,62050;10,00;0,74;-4,22654;
42,228;1,46080;10,00;0,90;-4,06910;
43,232;1,33800;10,00;1,03;-3,93586;
44,234;1,19390;10,00;1,21;-3,76295;
45,245;1,08590;10,00;1,35;-3,61907;
46,245;1,00700;10,00;1,47;-3,50461;
47,250;0,93237;10,00;1,58;-3,38776;
48,253;0,86991;10,00;1,69;-3,28254;
49,259;0,80134;10,00;1,81;-3,15795;
50,263;0,75684;10,00;1,90;-3,07126;
51,264;0,73566;10,00;1,94;-3,02819;
52,268;0,70061;10,00;2,02;-2,95411;
53,277;0,68265;10,00;2,06;-2,91470;
54,281;0,65048;10,00;2,13;-2,84146;
55,281;0,49179;10,00;2,55;-2,41709;
56,288;0,45792;10,00;2,66;-2,30881;
57,293;0,42732;10,00;2,77;-2,20386;
58,299;0,39967;10,00;2,87;-2,10236;
59,305;0,37470;10,00;2,97;-2,00446;
60,315;0,35212;10,00;3,06;-1,91015;
61,319;0,33168;10,00;3,15;-1,81940;
62,328;0,31311;10,00;3,24;-1,73198;
63,332;0,29638;10,00;3,32;-1,64865;
64,339;0,28126;10,00;3,40;-1,56919;
65,348;0,26752;10,00;3,48;-1,49319;
66,349;0,25519;10,00;3,55;-1,42159;
67,353;0,24421;10,00;3,62;-1,35485;
68,362;0,23467;10,00;3,68;-1,29439;
69,367;0,22671;10,00;3,73;-1,24202;
70,375;0,22015;10,00;3,77;-1,19747;
71,378;0,21499;10,00;3,81;-1,16148;
72,384;0,21141;10,00;3,83;-1,13600;
73,386;0,20931;10,00;3,85;-1,12085;
74,391;0,20855;10,00;3,85;-1,11533;
75,393;0,20877;10,00;3,85;-1,11693;
76,400;0,20940;10,00;3,85;-1,12150;
77,403;0,21002;10,00;3,84;-1,12599;
78,408;0,21028;10,00;3,84;-1,12786;
79,413;0,20982;10,00;3,85;-1,12454;
80,421;0,20849;10,00;3,86;-1,11489;
81,424;0,20615;10,00;3,87;-1,09776;
82,427;0,20271;10,00;3,90;-1,07223;
