Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
1,662;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
2,662;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
3,664;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
4,665;962,98000;2,50;7,50;;b'0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
5,666;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
6,667;962,97000;2,50;7,50;;b'0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03
7,668;962,97000;2,50;7,50;;b'0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6297E+02,2, 1,3652E+00,5, 1,0000E+03
8,669;962,98000;2,50;7,50;;b'0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
9,671;962,99000;2,50;7,50;;b'0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
10,671;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
11,673;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
12,673;962,98000;2,50;7,50;;b'0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6298E+02,2, 1,3652E+00,5, 1,0000E+03
13,674;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
14,674;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
15,676;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
16,676;962,96000;2,50;7,50;;b'0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6296E+02,2, 1,3652E+00,5, 1,0000E+03
17,677;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
18,678;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
19,679;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
20,680;962,95000;2,50;7,50;;b'0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6295E+02,2, 1,3652E+00,5, 1,0000E+03
