Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;959,57000;10,00;7,01;-0,27608;
1,008;959,57000;10,00;7,01;-0,27896;
2,008;959,57000;10,00;7,00;-0,28183;
3,018;959,57000;10,00;7,00;-0,28471;
4,023;959,57000;10,00;7,00;-0,28759;
5,025;959,57000;10,00;7,00;-0,29046;
6,035;959,57000;10,00;6,99;-0,29334;
7,044;959,57000;10,00;6,99;-0,29621;
8,052;959,57000;10,00;6,99;-0,29909;
9,062;959,56000;10,00;6,98;-0,30196;
10,072;959,39000;10,00;6,98;-0,30476;
11,078;906,98000;10,00;7,00;-0,28422;
12,079;765,19000;10,00;7,07;-0,21597;
13,086;691,28000;10,00;7,11;-0,17551;
14,094;633,93000;10,00;7,15;-0,14086;
15,101;586,04000;10,00;7,18;-0,10918;
16,104;545,37000;10,00;7,21;-0,07993;
17,111;510,52000;10,00;7,23;-0,05282;
18,121;479,92000;10,00;7,26;-0,02719;
19,126;453,53000;10,00;7,28;-0,00347;
20,135;430,64000;10,00;7,31;0,01850;
21,136;410,96000;10,00;7,33;0,03860;
22,138;396,38000;10,00;7,34;0,05447;
23,140;385,88000;10,00;7,35;0,06663;
24,149;379,58000;10,00;7,36;0,07457;
25,159;377,43000;10,00;7,36;0,07809;
26,159;378,61000;10,00;7,36;0,07797;
27,162;382,33000;10,00;7,36;0,07505;
28,170;395,42000;10,00;7,35;0,06214;
29,179;409,98000;10,00;7,33;0,04804;
30,188;427,26000;10,00;7,32;0,03164;
31,189;446,37000;10,00;7,30;0,01404;
32,192;466,28000;10,00;7,28;-0,00371;
33,193;486,30000;10,00;7,27;-0,02098;
34,201;505,97000;10,00;7,25;-0,03743;
35,202;523,40000;10,00;7,24;-0,05165;
36,206;538,04000;10,00;7,22;-0,06340;
37,208;550,11000;10,00;7,21;-0,07301;
38,208;560,47000;10,00;7,21;-0,08125;
39,215;567,43000;10,00;7,20;-0,08693;
40,217;570,18000;10,00;7,20;-0,08954;
41,226;569,85000;10,00;7,20;-0,08992;
42,227;568,26000;10,00;7,20;-0,08936;
43,235;559,22000;10,00;7,20;-0,08328;
44,244;546,81000;10,00;7,21;-0,07445;
45,250;534,51000;10,00;7,22;-0,06540;
46,251;522,29000;10,00;7,23;-0,05609;
47,261;509,41000;10,00;7,24;-0,04592;
48,263;497,25000;10,00;7,25;-0,03597;
49,273;484,36000;10,00;7,26;-0,02504;
50,281;473,32000;10,00;7,27;-0,01533;
51,290;463,86000;10,00;7,28;-0,00672;
52,296;455,67000;10,00;7,29;0,00098;
53,306;448,95000;10,00;7,29;0,00754;
54,307;442,84000;10,00;7,30;0,01367;
55,314;437,55000;10,00;7,31;0,01917;
56,320;433,67000;10,00;7,31;0,02341;
57,321;431,55000;10,00;7,31;0,02603;
58,329;431,25000;10,00;7,31;0,02691;
59,332;433,38000;10,00;7,31;0,02546;
60,341;438,16000;10,00;7,31;0,02146;
61,343;443,54000;10,00;7,30;0,01690;
62,343;448,94000;10,00;7,30;0,01233;
63,345;455,17000;10,00;7,29;0,00701;
64,354;462,80000;10,00;7,29;0,00044;
65,363;471,84000;10,00;7,28;-0,00733;
66,373;480,05000;10,00;7,27;-0,01432;
67,382;488,69000;10,00;7,27;-0,02162;
68,390;496,27000;10,00;7,26;-0,02799;
69,396;502,41000;10,00;7,25;-0,03313;
70,402;507,85000;10,00;7,25;-0,03768;
71,403;512,42000;10,00;7,25;-0,04153;
72,412;516,38000;10,00;7,24;-0,04489;
73,421;518,31000;10,00;7,24;-0,04663;
74,422;519,09000;10,00;7,24;-0,04746;
75,431;519,85000;10,00;7,24;-0,04827;
76,440;518,99000;10,00;7,24;-0,04780;
77,445;517,33000;10,00;7,24;-0,04667;
78,446;515,61000;10,00;7,24;-0,04547;
79,448;510,31000;10,00;7,25;-0,04134;
80,457;503,86000;10,00;7,25;-0,03617;
81,458;499,39000;10,00;7,25;-0,03254;
82,465;496,04000;10,00;7,26;-0,02977;
83,466;490,44000;10,00;7,26;-0,02505;
84,468;482,99000;10,00;7,27;-0,01863;
85,470;477,00000;10,00;7,27;-0,01332;
86,473;471,99000;10,00;7,28;-0,00876;
87,481;467,72000;10,00;7,28;-0,00476;
88,491;464,33000;10,00;7,29;-0,00148;
89,494;461,13000;10,00;7,29;0,00168;
90,496;458,37000;10,00;7,29;0,00449;
91,506;456,81000;10,00;7,29;0,00624;
92,509;456,32000;10,00;7,29;0,00704;
93,516;456,00000;10,00;7,29;0,00768;
94,520;455,74000;10,00;7,29;0,00827;
95,526;455,82000;10,00;7,30;0,00856;
96,535;457,01000;10,00;7,29;0,00783;
97,545;458,61000;10,00;7,29;0,00672;
98,545;461,12000;10,00;7,29;0,00477;
99,549;464,19000;10,00;7,29;0,00231;
100,557;467,09000;10,00;7,29;0,00287;
101,562;470,20000;10,00;7,29;0,00323;
102,564;476,23000;10,00;7,29;0,00101;
103,566;479,98000;10,00;7,29;0,00079;
104,571;483,00000;10,00;7,29;0,00118;
105,579;485,35000;10,00;7,29;0,00214;
106,584;486,97000;10,00;7,29;0,00371;
107,591;488,76000;10,00;7,29;0,00512;
108,597;490,44000;10,00;7,29;0,00662;
109,598;491,88000;10,00;7,29;0,00832;
110,601;493,13000;10,00;7,30;0,01016;
111,607;494,24000;10,00;7,30;0,01187;
112,616;495,17000;10,00;7,30;0,01298;
113,618;495,97000;10,00;7,30;0,01376;
114,618;496,61000;10,00;7,30;0,01429;
115,621;497,15000;10,00;7,30;0,01455;
116,630;497,67000;10,00;7,30;0,01452;
117,637;498,12000;10,00;7,30;0,01425;
118,637;498,40000;10,00;7,30;0,01386;
119,642;498,72000;10,00;7,30;0,01318;
120,651;499,00000;10,00;7,30;0,01231;
121,661;499,27000;10,00;7,30;0,01124;
122,666;499,49000;10,00;7,30;0,01005;
123,669;499,77000;10,00;7,30;0,00870;
124,674;501,43000;10,00;7,29;0,00612;
125,676;503,73000;10,00;7,29;0,00298;
126,682;505,93000;10,00;7,29;-0,00008;
127,689;507,83000;10,00;7,28;-0,00286;
128,700;509,42000;10,00;7,28;-0,00525;
129,702;510,81000;10,00;7,28;-0,00733;
130,709;511,95000;10,00;7,28;-0,00903;
131,717;512,94000;10,00;7,28;-0,01043;
132,722;513,77000;10,00;7,28;-0,01152;
133,732;514,50000;10,00;7,27;-0,01235;
134,733;515,13000;10,00;7,27;-0,01293;
135,734;515,68000;10,00;7,27;-0,01331;
136,735;516,15000;10,00;7,27;-0,01350;
137,735;516,52000;10,00;7,27;-0,01353;
138,746;516,10000;10,00;7,27;-0,01283;
139,755;514,53000;10,00;7,28;-0,01115;
140,755;512,74000;10,00;7,28;-0,00925;
141,763;511,13000;10,00;7,28;-0,00748;
142,769;509,72000;10,00;7,28;-0,00587;
143,779;508,50000;10,00;7,28;-0,00447;
144,781;507,44000;10,00;7,28;-0,00328;
145,791;506,53000;10,00;7,28;-0,00231;
146,792;505,73000;10,00;7,29;-0,00152;
147,801;505,07000;10,00;7,29;-0,00094;
148,811;504,53000;10,00;7,29;-0,00056;
149,821;504,06000;10,00;7,29;-0,00035;
150,821;503,63000;10,00;7,29;-0,00027;
151,827;503,28000;10,00;7,29;-0,00034;
152,829;502,97000;10,00;7,29;-0,00051;
153,837;502,72000;10,00;7,29;-0,00080;
154,844;502,45000;10,00;7,29;-0,00112;
155,853;502,23000;10,00;7,29;-0,00154;
156,863;502,01000;10,00;7,28;-0,00200;
157,870;501,82000;10,00;7,28;-0,00250;
158,875;501,70000;10,00;7,28;-0,00305;
159,878;501,61000;10,00;7,28;-0,00361;
160,880;501,50000;10,00;7,28;-0,00411;
161,885;501,39000;10,00;7,28;-0,00455;
162,893;501,30000;10,00;7,28;-0,00496;
163,904;501,25000;10,00;7,28;-0,00534;
164,904;501,18000;10,00;7,28;-0,00562;
165,908;501,06000;10,00;7,28;-0,00579;
166,914;500,98000;10,00;7,28;-0,00591;
167,924;500,93000;10,00;7,28;-0,00597;
168,932;500,83000;10,00;7,28;-0,00593;
169,933;500,78000;10,00;7,28;-0,00587;
170,943;500,76000;10,00;7,28;-0,00580;
171,943;500,73000;10,00;7,28;-0,00567;
172,946;500,74000;10,00;7,28;-0,00555;
173,949;500,69000;10,00;7,28;-0,00535;
174,950;500,62000;10,00;7,28;-0,00514;
175,954;500,55000;10,00;7,28;-0,00492;
176,962;500,49000;10,00;7,28;-0,00471;
177,965;500,43000;10,00;7,28;-0,00452;
178,973;500,39000;10,00;7,28;-0,00435;
179,979;500,34000;10,00;7,28;-0,00423;
180,982;500,28000;10,00;7,28;-0,00415;
181,983;500,22000;10,00;7,28;-0,00410;
182,993;500,22000;10,00;7,28;-0,00414;
183,997;500,19000;10,00;7,28;-0,00420;
184,999;500,18000;10,00;7,28;-0,00434;
186,001;500,13000;10,00;7,28;-0,00451;
187,004;500,06000;10,00;7,28;-0,00470;
