Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
1,001;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
2,002;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
3,003;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
4,003;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
5,004;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
6,006;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
7,006;964,69000;0,00;10,00;;b'0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6469E+02,2, 1,3652E+00,5, 1,0000E+03
8,007;964,68000;0,00;10,00;;b'0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
9,008;964,68000;0,00;10,00;;b'0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6468E+02,2, 1,3652E+00,5, 1,0000E+03
