Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
0,000;896,52000;10,00;10,00;Einlass;
1,039;896,51000;10,00;10,00;Einlass;
2,040;896,50000;10,00;10,00;Einlass;
3,041;896,51000;10,00;10,00;Einlass;
4,042;896,51000;10,00;10,00;Einlass;
5,043;896,55000;10,00;10,00;Einlass;
6,043;896,58000;10,00;10,00;Einlass;
7,043;896,59000;10,00;10,00;Einlass;
8,044;896,61000;10,00;10,00;Einlass;
9,045;896,60000;10,00;10,00;Einlass;
10,047;896,60000;10,00;10,00;Einlass;
11,047;896,56000;10,00;10,00;Einlass;
12,049;896,55000;10,00;10,00;Einlass;
13,050;896,54000;10,00;10,00;Einlass;
14,050;896,51000;10,00;10,00;Einlass;
