Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
24,015;896,13000;10,00;10,00;Einlass;;b'0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03
25,016;896,13000;10,00;10,00;Einlass;;b'0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9613E+02,2, 1,3652E+00,5, 1,0000E+03
26,017;896,14000;10,00;10,00;Einlass;;b'0, 8,9614E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9614E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9614E+02,2, 1,3652E+00,5, 1,0000E+03
27,019;896,20000;10,00;10,00;Einlass;;b'0, 8,9620E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9620E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9620E+02,2, 1,3652E+00,5, 1,0000E+03
28,019;896,25000;10,00;10,00;Einlass;;b'0, 8,9625E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9625E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9625E+02,2, 1,3652E+00,5, 1,0000E+03
29,020;896,28000;10,00;10,00;Einlass;;b'0, 8,9628E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9628E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9628E+02,2, 1,3652E+00,5, 1,0000E+03
30,020;896,30000;10,00;10,00;Einlass;;b'0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03
31,021;896,30000;10,00;10,00;Einlass;;b'0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9630E+02,2, 1,3652E+00,5, 1,0000E+03
32,022;896,33000;10,00;10,00;Einlass;;b'0, 8,9633E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9633E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9633E+02,2, 1,3652E+00,5, 1,0000E+03
33,022;896,35000;10,00;10,00;Einlass;;b'0, 8,9635E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9635E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9635E+02,2, 1,3652E+00,5, 1,0000E+03
34,022;896,34000;10,00;10,00;Einlass;;b'0, 8,9634E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9634E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9634E+02,2, 1,3652E+00,5, 1,0000E+03
35,023;896,38000;10,00;10,00;Einlass;;b'0, 8,9638E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9638E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9638E+02,2, 1,3652E+00,5, 1,0000E+03
36,023;896,40000;10,00;10,00;Einlass;;b'0, 8,9640E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9640E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9640E+02,2, 1,3652E+00,5, 1,0000E+03
37,024;896,43000;10,00;10,00;Einlass;;b'0, 8,9643E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9643E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9643E+02,2, 1,3652E+00,5, 1,0000E+03
38,025;896,46000;10,00;10,00;Einlass;;b'0, 8,9646E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9646E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9646E+02,2, 1,3652E+00,5, 1,0000E+03
