Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
116,997;897,62000;10,00;9,50;Einlass;
117,985;897,62000;10,00;9,50;Einlass;
118,973;897,62000;10,00;9,50;Einlass;
119,961;897,64000;10,00;9,50;Einlass;
120,949;897,64000;10,00;9,50;Einlass;
121,936;897,62000;10,00;9,50;Einlass;
122,924;897,62000;10,00;9,50;Einlass;
123,913;897,62000;10,00;9,50;Einlass;
124,901;897,62000;10,00;9,50;Einlass;
125,888;897,62000;10,00;9,50;Einlass;
126,876;897,63000;10,00;9,50;Einlass;
127,864;897,63000;10,00;9,50;Einlass;
128,852;897,63000;10,00;9,50;Einlass;
129,840;897,63000;10,00;9,50;Einlass;
130,828;897,62000;10,00;9,50;Einlass;
131,816;897,62000;10,00;9,50;Einlass;
132,803;897,63000;10,00;9,50;Einlass;
133,791;897,62000;10,00;9,50;Einlass;
134,779;897,62000;10,00;9,50;Einlass;
135,768;897,62000;10,00;9,50;Einlass;
136,755;897,62000;10,00;9,50;Einlass;
137,743;897,59000;10,00;9,50;Einlass;
138,732;897,58000;10,00;9,50;Einlass;
139,720;897,62000;10,00;9,50;Einlass;
140,707;897,62000;10,00;9,50;Einlass;
141,695;897,62000;10,00;9,50;Einlass;
142,683;897,62000;10,00;9,50;Einlass;
143,671;897,62000;10,00;9,50;Einlass;
144,659;897,62000;10,00;9,50;Einlass;
145,647;897,62000;10,00;9,50;Einlass;
146,635;897,62000;10,00;9,50;Einlass;
147,623;897,62000;10,00;9,50;Einlass;
148,611;897,62000;10,00;9,50;Einlass;
149,599;897,62000;10,00;9,50;Einlass;
150,587;897,62000;10,00;9,50;Einlass;
151,575;897,62000;10,00;9,50;Einlass;
152,562;897,62000;10,00;9,50;Einlass;
153,551;897,62000;10,00;9,50;Einlass;
154,538;897,63000;10,00;9,50;Einlass;
155,526;897,62000;10,00;9,50;Einlass;
156,515;897,62000;10,00;9,50;Einlass;
157,502;897,62000;10,00;9,50;Einlass;
158,490;897,62000;10,00;9,50;Einlass;
