Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s
0;896,68;10;10;Einlass;
1,161;896,64;10;10;Einlass;
2,163;896,63;10;10;Einlass;
3,164;896,64;10;10;Einlass;
4,164;896,67;10;10;Einlass;
5,165;896,68;10;10;Einlass;
6,166;896,67;10;10;Einlass;
7,167;896,68;10;10;Einlass;
8,168;896,68;10;10;Einlass;
9,169;896,62;10;10;Einlass;
10,17;896,6;10;10;Einlass;
11,171;896,63;10;10;Einlass;
12,173;896,63;10;10;Einlass;
13,173;896,63;10;10;Einlass;
14,175;896,64;10;10;Einlass;
15,176;896,65;10;10;Einlass;
16,177;896,67;10;10;Einlass;
17,178;896,68;10;10;Einlass;
18,18;896,68;10;10;Einlass;
19,181;896,68;10;10;Einlass;
20,182;896,68;10;10;Einlass;
21,183;896,68;10;10;Einlass;
22,184;896,72;10;10;Einlass;
23,185;896,72;10;10;Einlass;
24,186;896,72;10;10;Einlass;
25,187;896,73;10;10;Einlass;
26,188;896,76;10;10;Einlass;
27,188;896,76;10;10;Einlass;
28,189;896,79;10;10;Einlass;
29,189;896,8;10;10;Einlass;
30,191;896,76;10;10;Einlass;
31,192;896,72;10;10;Einlass;
32,192;896,68;10;10;Einlass;
33,192;896,68;10;10;Einlass;
34,194;896,69;10;10;Einlass;
35,194;896,7;10;10;Einlass;
36,196;896,72;10;10;Einlass;
37,196;896,72;10;10;Einlass;
38,197;896,72;10;10;Einlass;
39,198;896,72;10;10;Einlass;
40,199;896,72;10;10;Einlass;
41,2;896,72;10;10;Einlass;
42,201;896,72;10;10;Einlass;
43,201;896,72;10;10;Einlass;
44,202;896,69;10;10;Einlass;
45,202;896,68;10;10;Einlass;
46,203;896,72;10;10;Einlass;
47,204;896,72;10;10;Einlass;
48,205;896,73;10;10;Einlass;
49,206;896,72;10;10;Einlass;
50,207;896,72;10;10;Einlass;
51,207;896,73;10;10;Einlass;
52,209;896,72;10;10;Einlass;
53,21;896,68;10;10;Einlass;
54,211;896,67;10;10;Einlass;
55,212;896,68;10;10;Einlass;
56,213;896,68;10;10;Einlass;
57,215;896,68;10;10;Einlass;
58,216;896,68;10;10;Einlass;
59,217;896,68;10;10;Einlass;
60,218;896,68;10;10;Einlass;
61,219;896,68;10;10;Einlass;
62,22;896,71;10;10;Einlass;
63,22;896,74;10;10;Einlass;
64,222;896,76;10;10;Einlass;
65,222;896,76;10;10;Einlass;
66,223;896,72;10;10;Einlass;
67,223;896,7;10;10;Einlass;
68,223;896,68;10;10;Einlass;
69,225;896,64;10;10;Einlass;
70,226;896,6;10;10;Einlass;
71,227;896,62;10;10;Einlass;
72,228;896,63;10;10;Einlass;
73,228;896,63;10;10;Einlass;
74,229;896,64;10;10;Einlass;
75,23;896,63;10;10;Einlass;
76,232;896,63;10;10;Einlass;
77,233;896,64;10;10;Einlass;
78,234;896,64;10;10;Einlass;
79,235;896,63;10;10;Einlass;
80,237;896,63;10;10;Einlass;
81,237;896,64;10;10;Einlass;
82,237;896,64;10;10;Einlass;
83,238;896,64;10;10;Einlass;
84,239;896,67;10;10;Einlass;
85,24;896,68;10;10;Einlass;
86,241;896,67;10;10;Einlass;
87,242;896,7;10;10;Einlass;
88,243;896,72;10;10;Einlass;
89,244;896,72;10;10;Einlass;
90,244;896,72;10;10;Einlass;
91,245;896,72;10;10;Einlass;
92,246;896,72;10;10;Einlass;
93,247;896,72;10;10;Einlass;
94,247;896,71;10;10;Einlass;
95,248;896,68;10;10;Einlass;
96,249;896,68;10;10;Einlass;
97,25;896,71;10;10;Einlass;
98,252;896,72;10;10;Einlass;
99,253;896,72;10;10;Einlass;
100,254;896,72;10;10;Einlass;100,254
101,254;896,72;10;9,5;Einlass;
102,254;896,72;10;9,5;Einlass;
103,255;896,73;10;9,5;Einlass;
104,256;896,77;10;9,5;Einlass;
105,257;896,76;10;9,5;Einlass;
106,257;896,76;10;9,5;Einlass;
107,257;896,8;10;9,5;Einlass;
108,259;896,81;10;9,5;Einlass;
109,259;896,78;10;9,5;Einlass;
110,259;896,79;10;9,5;Einlass;
111,26;896,8;10;9,5;Einlass;
112,261;896,81;10;9,5;Einlass;
113,262;896,81;10;9,5;Einlass;
114,263;896,8;10;9,5;Einlass;
115,263;896,77;10;9,5;Einlass;
116,264;896,76;10;9,5;Einlass;
117,264;896,76;10;9,5;Einlass;
118,266;896,73;10;9,5;Einlass;
119,266;896,73;10;9,5;Einlass;
120,267;896,73;10;9,5;Einlass;
121,268;896,72;10;9,5;Einlass;
122,268;896,72;10;9,5;Einlass;
123,269;896,72;10;9,5;Einlass;
124,27;896,72;10;9,5;Einlass;
125,271;896,68;10;9,5;Einlass;
126,273;896,68;10;9,5;Einlass;
127,274;896,68;10;9,5;Einlass;
128,275;896,68;10;9,5;Einlass;
129,277;896,68;10;9,5;Einlass;
130,278;896,71;10;9,5;Einlass;
131,279;896,68;10;9,5;Einlass;
132,279;896,68;10;9,5;Einlass;
133,281;896,68;10;9,5;Einlass;
134,281;896,69;10;9,5;Einlass;
135,282;896,72;10;9,5;Einlass;
136,283;896,76;10;9,5;Einlass;
137,284;896,77;10;9,5;Einlass;
138,284;896,76;10;9,5;Einlass;
139,285;896,76;10;9,5;Einlass;
140,286;896,77;10;9,5;Einlass;
141,287;896,77;10;9,5;Einlass;
142,288;896,76;10;9,5;Einlass;
143,289;896,76;10;9,5;Einlass;
144,29;896,77;10;9,5;Einlass;
145,291;896,76;10;9,5;Einlass;
146,292;896,77;10;9,5;Einlass;
147,293;896,77;10;9,5;Einlass;
148,295;896,77;10;9,5;Einlass;
149,295;896,77;10;9,5;Einlass;
150,295;896,73;10;9,5;Einlass;
151,296;896,72;10;9,5;Einlass;
152,296;896,71;10;9,5;Einlass;
153,296;896,69;10;9,5;Einlass;
154,297;896,67;10;9,5;Einlass;
155,298;896,68;10;9,5;Einlass;
156,299;896,68;10;9,5;Einlass;
157,3;896,68;10;9,5;Einlass;
158,301;896,72;10;9,5;Einlass;
159,301;896,75;10;9,5;Einlass;
160,302;896,72;10;9,5;Einlass;
161,302;896,72;10;9,5;Einlass;
162,303;896,73;10;9,5;Einlass;
163,304;896,69;10;9,5;Einlass;
164,305;896,68;10;9,5;Einlass;
165,305;896,68;10;9,5;Einlass;
166,306;896,71;10;9,5;Einlass;
167,306;896,69;10;9,5;Einlass;
168,308;896,68;10;9,5;Einlass;
169,308;896,68;10;9,5;Einlass;
170,308;896,67;10;9,5;Einlass;
171,309;896,67;10;9,5;Einlass;
172,311;896,68;10;9,5;Einlass;
173,311;896,68;10;9,5;Einlass;
174,311;896,68;10;9,5;Einlass;
175,312;896,68;10;9,5;Einlass;
176,313;896,68;10;9,5;Einlass;
177,313;896,68;10;9,5;Einlass;
178,315;896,67;10;9,5;Einlass;
179,315;896,64;10;9,5;Einlass;
180,315;896,65;10;9,5;Einlass;
181,316;896,67;10;9,5;Einlass;
182,317;896,68;10;9,5;Einlass;
183,318;896,64;10;9,5;Einlass;
184,32;896,63;10;9,5;Einlass;
185,321;896,64;10;9,5;Einlass;
186,322;896,63;10;9,5;Einlass;
187,323;896,64;10;9,5;Einlass;
188,324;896,68;10;9,5;Einlass;
189,325;896,68;10;9,5;Einlass;
190,326;896,68;10;9,5;Einlass;
191,326;896,69;10;9,5;Einlass;
192,326;896,72;10;9,5;Einlass;
193,327;896,72;10;9,5;Einlass;
194,328;896,72;10;9,5;Einlass;
195,329;896,76;10;9,5;Einlass;
196,33;896,76;10;9,5;Einlass;
197,331;896,77;10;9,5;Einlass;
198,331;896,76;10;9,5;Einlass;
199,333;896,77;10;9,5;Einlass;
200,334;896,77;10;9,5;Einlass;99,08
201,334;896,73;10;9;Einlass;
202,335;896,69;10;9;Einlass;
203,336;896,66;10;9;Einlass;
204,337;896,65;10;9;Einlass;
205,338;896,65;10;9;Einlass;
206,338;896,64;10;9;Einlass;
207,339;896,64;10;9;Einlass;
208,339;896,61;10;9;Einlass;
209,341;896,56;10;9;Einlass;
210,341;896,55;10;9;Einlass;
211,343;896,56;10;9;Einlass;
212,344;896,55;10;9;Einlass;
213,345;896,58;10;9;Einlass;
214,346;896,6;10;9;Einlass;
215,347;896,59;10;9;Einlass;
216,347;896,63;10;9;Einlass;
217,349;896,64;10;9;Einlass;
218,35;896,64;10;9;Einlass;
219,35;896,67;10;9;Einlass;
220,351;896,65;10;9;Einlass;
221,353;896,68;10;9;Einlass;
222,354;896,64;10;9;Einlass;
223,355;896,63;10;9;Einlass;
224,356;896,64;10;9;Einlass;
225,356;896,64;10;9;Einlass;
226,358;896,63;10;9;Einlass;
227,359;896,64;10;9;Einlass;
228,36;896,63;10;9;Einlass;
229,362;896,63;10;9;Einlass;
230,362;896,64;10;9;Einlass;
231,363;896,63;10;9;Einlass;
232,363;896,61;10;9;Einlass;
233,364;896,59;10;9;Einlass;
234,365;896,6;10;9;Einlass;
235,366;896,59;10;9;Einlass;
236,367;896,59;10;9;Einlass;
237,368;896,6;10;9;Einlass;
238,369;896,6;10;9;Einlass;
239,37;896,6;10;9;Einlass;
240,371;896,63;10;9;Einlass;
241,371;896,63;10;9;Einlass;
242,372;896,63;10;9;Einlass;
243,374;896,64;10;9;Einlass;
244,375;896,63;10;9;Einlass;
245,375;896,63;10;9;Einlass;
246,375;896,63;10;9;Einlass;
247,376;896,6;10;9;Einlass;
248,377;896,59;10;9;Einlass;
249,379;896,59;10;9;Einlass;
250,379;896,56;10;9;Einlass;
251,38;896,55;10;9;Einlass;
252,381;896,51;10;9;Einlass;
253,383;896,51;10;9;Einlass;
254,383;896,51;10;9;Einlass;
