Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,954;335,41000;0,00;8,50;;b'0, 3,3541E+02,0, 7,3640E-01,5, 1,0000E+03\r\n';"0, 3,3541E+02,0, 7,3640E-01,5, 1,0000E+03
";0, 3,3541E+02,0, 7,3640E-01,5, 1,0000E+03
2,930;857,62000;0,00;8,50;;b'0, 8,5762E+02,0, 1,0301E+00,5, 1,0000E+03\r\n';"0, 8,5762E+02,0, 1,0301E+00,5, 1,0000E+03
";0, 8,5762E+02,0, 1,0301E+00,5, 1,0000E+03
3,931;950,55000;0,00;8,50;;b'0, 9,5055E+02,0, 1,1867E+00,5, 1,0000E+03\r\n';"0, 9,5055E+02,0, 1,1867E+00,5, 1,0000E+03
";0, 9,5055E+02,0, 1,1867E+00,5, 1,0000E+03
4,932;959,02000;0,00;8,50;;b'0, 9,5902E+02,0, 1,2702E+00,5, 1,0000E+03\r\n';"0, 9,5902E+02,0, 1,2702E+00,5, 1,0000E+03
";0, 9,5902E+02,0, 1,2702E+00,5, 1,0000E+03
5,933;959,85000;0,00;8,50;;b'0, 9,5985E+02,0, 1,3147E+00,5, 1,0000E+03\r\n';"0, 9,5985E+02,0, 1,3147E+00,5, 1,0000E+03
";0, 9,5985E+02,0, 1,3147E+00,5, 1,0000E+03
6,934;959,94000;0,00;8,50;;b'0, 9,5994E+02,0, 1,3384E+00,5, 1,0000E+03\r\n';"0, 9,5994E+02,0, 1,3384E+00,5, 1,0000E+03
";0, 9,5994E+02,0, 1,3384E+00,5, 1,0000E+03
7,936;959,97000;0,00;8,50;;b'0, 9,5997E+02,0, 1,3510E+00,5, 1,0000E+03\r\n';"0, 9,5997E+02,0, 1,3510E+00,5, 1,0000E+03
";0, 9,5997E+02,0, 1,3510E+00,5, 1,0000E+03
8,936;959,97000;0,00;8,50;;b'0, 9,5997E+02,0, 1,3578E+00,5, 1,0000E+03\r\n';"0, 9,5997E+02,0, 1,3578E+00,5, 1,0000E+03
";0, 9,5997E+02,0, 1,3578E+00,5, 1,0000E+03
9,937;959,97000;0,00;8,50;;b'0, 9,5997E+02,0, 1,3614E+00,5, 1,0000E+03\r\n';"0, 9,5997E+02,0, 1,3614E+00,5, 1,0000E+03
";0, 9,5997E+02,0, 1,3614E+00,5, 1,0000E+03
10,938;959,97000;0,00;8,50;;b'0, 9,5997E+02,0, 1,3633E+00,5, 1,0000E+03\r\n';"0, 9,5997E+02,0, 1,3633E+00,5, 1,0000E+03
";0, 9,5997E+02,0, 1,3633E+00,5, 1,0000E+03
11,939;959,97000;0,00;8,50;;b'0, 9,5997E+02,0, 1,3643E+00,5, 1,0000E+03\r\n';"0, 9,5997E+02,0, 1,3643E+00,5, 1,0000E+03
";0, 9,5997E+02,0, 1,3643E+00,5, 1,0000E+03
12,940;959,98000;0,00;8,50;;b'0, 9,5998E+02,0, 1,3649E+00,5, 1,0000E+03\r\n';"0, 9,5998E+02,0, 1,3649E+00,5, 1,0000E+03
";0, 9,5998E+02,0, 1,3649E+00,5, 1,0000E+03
13,941;960,01000;0,00;8,50;;b'0, 9,6001E+02,0, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6001E+02,0, 1,3652E+00,5, 1,0000E+03
";0, 9,6001E+02,0, 1,3652E+00,5, 1,0000E+03
14,942;960,01000;0,00;8,50;;b'0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03
15,943;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
16,944;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
17,946;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
18,947;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
19,947;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
20,948;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
21,949;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
22,951;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
23,951;960,01000;0,00;8,50;;b'0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6001E+02,2, 1,3652E+00,5, 1,0000E+03
24,952;960,03000;0,00;8,50;;b'0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03
25,953;960,02000;0,00;8,50;;b'0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6002E+02,2, 1,3652E+00,5, 1,0000E+03
26,954;960,03000;0,00;8,50;;b'0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6003E+02,2, 1,3652E+00,5, 1,0000E+03
27,954;960,05000;0,00;8,50;;b'0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
28,954;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
29,956;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
30,956;960,05000;0,00;8,50;;b'0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
31,957;960,05000;0,00;8,50;;b'0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
32,958;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
33,959;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
34,961;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
35,962;960,04000;0,00;8,50;;b'0, 9,6004E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6004E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6004E+02,2, 1,3652E+00,5, 1,0000E+03
36,963;960,05000;0,00;8,50;;b'0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6005E+02,2, 1,3652E+00,5, 1,0000E+03
37,963;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
38,963;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
39,963;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
40,965;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
41,965;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
42,966;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
43,966;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
44,967;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
45,968;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
46,969;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
47,969;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
48,969;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
49,970;960,06000;0,00;8,50;;b'0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6006E+02,2, 1,3652E+00,5, 1,0000E+03
