Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;948,00000;10,0;0.0;;0, 9,4800E+02,2, 1,3652E+00,5, 1,0000E+03
1,508;946,40000;10,0;0.0;;0, 9,4640E+02,2, 1,3652E+00,5, 1,0000E+03
2,517;746,19000;10,0;0.0;;0, 7,4619E+02,2, 1,3652E+00,5, 1,0000E+03
3,527;608,95000;10,0;0.0;;0, 6,0895E+02,2, 1,3652E+00,5, 1,0000E+03
4,536;525,51000;10,0;0.0;;0, 5,2551E+02,2, 1,3652E+00,5, 1,0000E+03
5,544;463,60000;10,0;0.0;;0, 4,6360E+02,2, 1,3652E+00,5, 1,0000E+03
6,553;416,25000;10,0;0.0;;0, 4,1625E+02,2, 1,3652E+00,5, 1,0000E+03
7,562;387,76000;5,45;6,93;;0, 3,8776E+02,2, 1,3652E+00,5, 1,0000E+03
8,572;371,09000;5,67;6,94;;0, 3,7109E+02,2, 1,3652E+00,5, 1,0000E+03
9,578;345,84000;6,01;6,94;;0, 3,4584E+02,2, 1,3652E+00,5, 1,0000E+03
10,578;325,53000;6,27;6,95;;0, 3,2553E+02,2, 1,3652E+00,5, 1,0000E+03
11,588;309,95000;6,48;6,95;;0, 3,0995E+02,2, 1,3652E+00,5, 1,0000E+03
12,593;297,79000;6,64;6,96;;0, 2,9779E+02,2, 1,3652E+00,5, 1,0000E+03
13,595;287,98000;6,77;6,96;;0, 2,8798E+02,2, 1,3652E+00,5, 1,0000E+03
14,602;280,26000;6,87;6,96;;0, 2,8026E+02,2, 1,3652E+00,5, 1,0000E+03
15,611;274,50000;6,95;6,96;;0, 2,7450E+02,2, 1,3652E+00,5, 1,0000E+03
16,619;269,99000;7,01;6,96;;0, 2,6999E+02,2, 1,3652E+00,5, 1,0000E+03
17,629;266,70000;7,05;6,96;;0, 2,6670E+02,2, 1,3652E+00,5, 1,0000E+03
18,637;264,11000;7,09;6,97;;0, 2,6411E+02,2, 1,3652E+00,5, 1,0000E+03
19,638;262,39000;7,11;6,97;;0, 2,6239E+02,2, 1,3652E+00,5, 1,0000E+03
20,645;260,90000;7,13;6,97;;0, 2,6090E+02,2, 1,3652E+00,5, 1,0000E+03
21,653;259,44000;7,15;6,97;;0, 2,5944E+02,2, 1,3652E+00,5, 1,0000E+03
22,654;258,19000;7,16;6,97;;0, 2,5819E+02,2, 1,3652E+00,5, 1,0000E+03
23,662;257,18000;7,18;6,97;;0, 2,5718E+02,2, 1,3652E+00,5, 1,0000E+03
24,670;256,31000;7,19;6,97;;0, 2,5631E+02,2, 1,3652E+00,5, 1,0000E+03
25,679;255,64000;7,20;6,97;;0, 2,5564E+02,2, 1,3652E+00,5, 1,0000E+03
26,681;255,09000;7,21;6,97;;0, 2,5509E+02,2, 1,3652E+00,5, 1,0000E+03
27,685;254,63000;7,21;6,97;;0, 2,5463E+02,2, 1,3652E+00,5, 1,0000E+03
28,692;254,22000;7,22;6,97;;0, 2,5422E+02,2, 1,3652E+00,5, 1,0000E+03
29,694;253,94000;7,22;6,97;;0, 2,5394E+02,2, 1,3652E+00,5, 1,0000E+03
30,701;253,70000;7,22;6,97;;0, 2,5370E+02,2, 1,3652E+00,5, 1,0000E+03
31,705;253,50000;7,23;6,97;;0, 2,5350E+02,2, 1,3652E+00,5, 1,0000E+03
32,711;253,31000;7,23;6,97;;0, 2,5331E+02,2, 1,3652E+00,5, 1,0000E+03
33,711;253,23000;7,23;6,97;;0, 2,5323E+02,2, 1,3652E+00,5, 1,0000E+03
34,717;253,12000;7,23;6,97;;0, 2,5312E+02,2, 1,3652E+00,5, 1,0000E+03
35,720;253,05000;7,23;6,97;;0, 2,5305E+02,2, 1,3652E+00,5, 1,0000E+03
