Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;967,36000;10,00;7,06;-0,21747;
1,002;967,37000;10,00;7,06;-0,21747;
2,009;967,34000;10,00;7,06;-0,21746;
3,014;967,08000;10,00;7,06;-0,21738;
4,020;889,12000;10,00;7,09;-0,19092;
5,030;682,67000;10,00;7,17;-0,10772;
6,035;589,34000;10,00;7,22;-0,06143;
7,041;526,79000;10,00;7,26;-0,02611;
8,049;491,07000;10,00;7,28;-0,00400;
9,052;476,64000;10,00;7,29;0,00539;
10,060;476,32000;10,00;7,29;0,00560;
11,062;482,68000;10,00;7,28;0,00143;
12,072;496,21000;10,00;7,27;-0,00728;
13,073;505,76000;10,00;7,27;-0,01328;
14,081;512,89000;10,00;7,26;-0,01769;
15,087;517,98000;10,00;7,26;-0,02080;
16,090;518,78000;10,00;7,26;-0,02128;
17,094;518,46000;10,00;7,26;-0,02109;
18,103;517,97000;10,00;7,26;-0,02079;
19,105;517,50000;10,00;7,26;-0,02050;
20,115;517,12000;10,00;7,26;-0,02027;
21,120;516,84000;10,00;7,26;-0,02010;
22,120;516,59000;10,00;7,26;-0,01995;
23,127;516,39000;10,00;7,26;-0,01983;
24,133;516,24000;10,00;7,26;-0,01974;
25,137;516,06000;10,00;7,26;-0,01963;
26,140;515,93000;10,00;7,26;-0,01955;
27,149;515,84000;10,00;7,26;-0,01949;
28,153;515,78000;10,00;7,26;-0,01946;
29,161;515,70000;10,00;7,26;-0,01941;
30,170;515,64000;10,00;7,26;-0,01937;
31,175;515,60000;10,00;7,26;-0,01935;
32,182;515,56000;10,00;7,26;-0,01932;
33,188;515,52000;10,00;7,26;-0,01930;
34,191;515,48000;10,00;7,26;-0,01927;
35,198;515,44000;10,00;7,26;-0,01925;
36,202;515,39000;10,00;7,26;-0,01922;
37,207;515,35000;10,00;7,26;-0,01919;
38,211;515,34000;10,00;7,26;-0,01919;
39,218;515,34000;10,00;7,26;-0,01919;
40,220;515,30000;10,00;7,26;-0,01916;
41,223;515,28000;10,00;7,26;-0,01915;
42,232;515,25000;10,00;7,26;-0,01913;
43,236;515,21000;10,00;7,26;-0,01911;
44,238;515,16000;10,00;7,26;-0,01908;
45,243;515,10000;10,00;7,26;-0,01904;
46,245;515,09000;10,00;7,26;-0,01903;
47,250;515,05000;10,00;7,26;-0,01901;
48,255;515,00000;10,00;7,26;-0,01898;
49,262;514,97000;10,00;7,26;-0,01896;
50,271;514,93000;10,00;7,26;-0,01894;
51,276;514,91000;10,00;7,26;-0,01892;
52,276;514,88000;10,00;7,26;-0,01891;
53,277;514,82000;10,00;7,26;-0,01887;
54,286;514,76000;10,00;7,26;-0,01883;
55,295;514,71000;10,00;7,26;-0,01880;
56,305;514,67000;10,00;7,26;-0,01878;
57,305;514,63000;10,00;7,26;-0,01875;
58,312;514,57000;10,00;7,26;-0,01872;
59,319;514,51000;10,00;7,26;-0,01868;
60,324;514,47000;10,00;7,26;-0,01866;
61,332;514,43000;10,00;7,26;-0,01863;
62,339;514,40000;10,00;7,26;-0,01861;
63,348;514,40000;10,00;7,26;-0,01861;
64,355;514,40000;10,00;7,26;-0,01861;
65,360;514,40000;10,00;7,26;-0,01861;
66,369;514,40000;10,00;7,26;-0,01861;
67,372;514,40000;10,00;7,26;-0,01861;
68,376;514,40000;10,00;7,26;-0,01861;
69,380;514,40000;10,00;7,26;-0,01861;
70,382;514,43000;10,00;7,26;-0,01863;
71,382;514,40000;10,00;7,26;-0,01861;
72,384;514,39000;10,00;7,26;-0,01861;
73,392;514,34000;10,00;7,26;-0,01858;
74,398;514,32000;10,00;7,26;-0,01856;
75,405;514,28000;10,00;7,26;-0,01854;
76,412;514,22000;10,00;7,26;-0,01850;
77,418;514,19000;10,00;7,26;-0,01848;
78,427;514,13000;10,00;7,26;-0,01845;
79,435;514,11000;10,00;7,26;-0,01843;
80,442;514,06000;10,00;7,26;-0,01840;
81,446;514,02000;10,00;7,26;-0,01838;
82,448;513,94000;10,00;7,26;-0,01833;
83,456;513,87000;10,00;7,26;-0,01829;
84,458;513,82000;10,00;7,26;-0,01826;
85,463;513,81000;10,00;7,26;-0,01825;
86,465;513,78000;10,00;7,26;-0,01823;
87,472;513,80000;10,00;7,26;-0,01824;
88,474;513,75000;10,00;7,26;-0,01821;
89,478;513,69000;10,00;7,26;-0,01818;
90,481;513,64000;10,00;7,26;-0,01815;
91,491;513,64000;10,00;7,26;-0,01815;
92,499;513,61000;10,00;7,26;-0,01813;
93,508;513,59000;10,00;7,26;-0,01812;
94,511;513,59000;10,00;7,26;-0,01812;
95,516;513,56000;10,00;7,26;-0,01810;
96,520;513,53000;10,00;7,26;-0,01808;
97,528;513,51000;10,00;7,26;-0,01807;
98,530;513,48000;10,00;7,26;-0,01805;
99,531;513,46000;10,00;7,26;-0,01804;
100,540;513,44000;10,00;7,26;-0,01802;
101,541;513,38000;10,00;7,26;-0,01799;
102,546;513,34000;10,00;7,26;-0,01796;
103,556;513,33000;10,00;7,26;-0,01796;
104,563;513,31000;10,00;7,26;-0,01794;
105,564;513,24000;10,00;7,26;-0,01790;
106,570;513,19000;10,00;7,26;-0,01787;
107,576;513,16000;10,00;7,26;-0,01785;
108,585;513,12000;10,00;7,26;-0,01783;
109,587;513,05000;10,00;7,26;-0,01778;
110,596;513,02000;10,00;7,26;-0,01777;
111,596;512,99000;10,00;7,26;-0,01775;
112,600;512,99000;10,00;7,26;-0,01775;
113,604;512,95000;10,00;7,26;-0,01772;
