Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
1,120;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
2,121;955,15000;0,00;10,00;;b'0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03
3,121;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
4,122;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
5,122;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
6,123;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
7,123;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
8,124;955,14000;0,00;10,00;;b'0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5514E+02,2, 1,3652E+00,5, 1,0000E+03
9,125;955,15000;0,00;10,00;;b'0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5515E+02,2, 1,3652E+00,5, 1,0000E+03
