Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;957,74000;10,00;4,97;-0,00000;
1,010;957,77000;10,00;4,97;-0,00000;
2,020;957,78000;10,00;4,97;-0,00000;
3,024;957,78000;10,00;4,97;0,00000;
4,030;957,80000;10,00;4,97;-0,00000;
5,033;957,82000;10,00;4,97;-0,00000;
6,038;957,82000;10,00;4,97;0,00000;
7,042;957,82000;10,00;4,97;0,00000;
8,047;957,85000;10,00;4,97;-0,00000;
9,054;957,86000;10,00;4,97;-0,00000;
10,064;957,86000;10,00;4,97;0,00000;
11,067;957,86000;10,00;4,97;0,00000;
12,076;957,90000;10,00;4,97;-0,00000;
13,080;957,90000;10,00;4,97;0,00000;
14,087;957,80000;10,00;4,97;0,00000;
15,091;941,86000;10,00;4,97;0,00000;
16,096;767,57000;10,00;4,97;0,00000;
17,097;665,94000;10,00;4,97;0,00000;
18,106;585,22000;10,00;4,97;0,00000;
