Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,09000;10,00;0,00;-6,37374;
1,004;966,05000;10,00;0,00;-6,37371;
2,006;966,04000;10,00;0,00;-6,37371;
3,010;966,04000;10,00;0,00;-6,37371;
4,017;966,04000;10,00;0,00;-6,37371;
5,019;966,04000;10,00;0,00;-6,37371;
6,024;966,04000;10,00;0,00;-6,37371;
7,029;966,04000;10,00;0,00;-6,37371;
8,032;966,01000;10,00;0,00;-6,37369;
9,032;966,00000;10,00;0,00;-6,37368;
10,039;966,00000;10,00;0,00;-6,37368;
11,047;966,00000;10,00;0,00;-6,37368;
12,052;966,00000;10,00;0,00;-6,37368;
13,056;966,00000;10,00;0,00;-6,37368;
14,061;966,00000;10,00;0,00;-6,37368;
15,066;966,00000;10,00;0,00;-6,37368;
16,071;966,00000;10,00;0,00;-6,37368;
17,076;966,00000;10,00;0,00;-6,37368;
18,076;965,98000;10,00;0,00;-6,37366;
19,076;965,72000;10,00;0,00;-6,37348;
20,084;810,14000;10,00;0,00;-6,25146;
21,089;604,13000;10,00;0,00;-6,04764;
22,091;479,36000;10,00;0,00;-5,88695;
23,094;384,24000;10,00;0,00;-5,73331;
24,098;309,49000;10,00;0,00;-5,58303;
25,101;250,31000;10,00;0,00;-5,43562;
26,108;203,38000;10,00;0,00;-5,29140;
27,110;166,10000;10,00;0,00;-5,15074;
28,120;135,82000;10,00;0,00;-5,01095;
29,126;111,26000;10,00;0,10;-4,87240;
30,127;91,45500;10,00;0,23;-4,73623;
31,132;75,30500;10,00;0,37;-4,60127;
32,141;62,33400;10,00;0,50;-4,46996;
33,145;51,55700;10,00;0,63;-4,33811;
34,152;42,67600;10,00;0,76;-4,20679;
35,161;35,44600;10,00;0,89;-4,07785;
36,167;29,56200;10,00;1,02;-3,95176;
37,172;24,63100;10,00;1,15;-3,82500;
38,178;20,53700;10,00;1,27;-3,69873;
39,185;17,51500;10,00;1,38;-3,58817;
40,187;14,80600;10,00;1,50;-3,47146;
41,189;12,77600;10,00;1,60;-3,36902;
42,194;11,40800;10,00;1,68;-3,29036;
43,198;9,95440;10,00;1,77;-3,19568;
44,208;8,62040;10,00;1,87;-3,09573;
45,214;7,49350;10,00;1,97;-2,99842;
46,223;6,53020;10,00;2,07;-2,90284;
47,228;5,67800;10,00;2,16;-2,80571;
48,238;4,96410;10,00;2,26;-2,71237;
49,238;4,41360;10,00;2,34;-2,63073;
50,248;3,88250;10,00;2,43;-2,54167;
51,253;3,42760;10,00;2,51;-2,45510;
52,258;3,05870;10,00;2,59;-2,37601;
53,261;2,72950;10,00;2,67;-2,29691;
54,263;2,50060;10,00;2,73;-2,23607;
55,264;2,19570;10,00;2,82;-2,14575;
56,268;1,95260;10,00;2,91;-2,06424;
57,269;1,75440;10,00;2,98;-1,98989;
58,269;1,58440;10,00;3,05;-1,91910;
59,278;1,42050;10,00;3,13;-1,84325;
60,285;1,29440;10,00;3,19;-1,77867;
61,288;1,16430;10,00;3,26;-1,70509;
62,293;1,06230;10,00;3,33;-1,64141;
63,301;0,99336;10,00;3,38;-1,59480;
64,302;0,91881;10,00;3,43;-1,54061;
65,311;0,84509;10,00;3,49;-1,48251;
66,314;0,78665;10,00;3,54;-1,43274;
67,316;0,73943;10,00;3,58;-1,38974;
68,321;0,73512;10,00;3,58;-1,38568;
69,326;0,69790;10,00;3,62;-1,34959;
70,328;0,67036;10,00;3,65;-1,32162;
71,333;0,61707;10,00;3,71;-1,26408;
72,334;0,47080;10,00;3,89;-1,07615;
73,339;0,43752;10,00;3,94;-1,02523;
74,339;0,40745;10,00;3,99;-0,97577;
75,347;0,38032;10,00;4,04;-0,92791;
76,349;0,35578;10,00;4,09;-0,88157;
77,359;0,33358;10,00;4,13;-0,83682;
78,366;0,31343;10,00;4,18;-0,79354;
79,371;0,29518;10,00;4,22;-0,75187;
80,380;0,27883;10,00;4,26;-0,71229;
81,389;0,26388;10,00;4,30;-0,67401;
82,395;0,25029;10,00;4,33;-0,63728;
83,405;0,23788;10,00;4,37;-0,60196;
84,407;0,22660;10,00;4,40;-0,56821;
85,415;0,21633;10,00;4,43;-0,53599;
86,422;0,20697;10,00;4,46;-0,50527;
87,426;0,19857;10,00;4,49;-0,47649;
88,428;0,19093;10,00;4,52;-0,44924;
89,433;0,18386;10,00;4,55;-0,42303;
90,443;0,17733;10,00;4,57;-0,39791;
91,443;0,17151;10,00;4,60;-0,37473;
92,447;0,16879;10,00;4,61;-0,36362;
93,455;0,17240;10,00;4,59;-0,37832;
94,463;0,17970;10,00;4,56;-0,40713;
95,467;0,18923;10,00;4,53;-0,44303;
96,469;0,20099;10,00;4,49;-0,48491;
97,471;0,21566;10,00;4,44;-0,53384;
98,481;0,23352;10,00;4,38;-0,58911;
99,487;0,25522;10,00;4,32;-0,65083;
100,497;0,28181;10,00;4,25;-0,71967;
101,502;0,31428;10,00;4,17;-0,79542;
102,508;0,35249;10,00;4,09;-0,87512;
103,516;0,39586;10,00;4,01;-0,95572;
104,526;0,44358;10,00;3,94;-1,03478;
105,530;0,49545;10,00;3,86;-1,11160;
106,533;0,55042;10,00;3,79;-1,18469;
107,535;0,60867;10,00;3,72;-1,25456;
108,537;0,67208;10,00;3,65;-1,32340;
109,544;0,74187;10,00;3,58;-1,39203;
110,551;0,81690;10,00;3,51;-1,45895;
111,559;0,89544;10,00;3,45;-1,52271;
112,561;1,01690;10,00;3,36;-1,61107;
113,562;1,09200;10,00;3,31;-1,66056;
114,563;1,17570;10,00;3,26;-1,71186;
115,574;1,22910;10,00;3,23;-1,74271;
116,576;1,24310;10,00;3,22;-1,75058;
117,585;1,21150;10,00;3,24;-1,73270;
118,587;1,13870;10,00;3,28;-1,68965;
119,591;1,06460;10,00;3,33;-1,64291;
120,594;1,00410;10,00;3,37;-1,60227;
121,604;0,91901;10,00;3,43;-1,54076;
122,607;0,83972;10,00;3,49;-1,47809;
123,612;0,78868;10,00;3,54;-1,43453;
124,622;0,74064;10,00;3,58;-1,39087;
125,632;0,73390;10,00;3,59;-1,38452;
126,633;0,69411;10,00;3,62;-1,34580;
127,639;0,65189;10,00;3,67;-1,30221;
128,639;0,49315;10,00;3,86;-1,10837;
129,642;0,45311;10,00;3,92;-1,04955;
130,645;0,41725;10,00;3,98;-0,99228;
131,646;0,38525;10,00;4,03;-0,93685;
132,654;0,35666;10,00;4,09;-0,88329;
133,659;0,33113;10,00;4,14;-0,83170;
134,666;0,30827;10,00;4,19;-0,78201;
135,671;0,28778;10,00;4,24;-0,73423;
136,681;0,26937;10,00;4,28;-0,68831;
137,688;0,25306;10,00;4,33;-0,64493;
138,691;0,23828;10,00;4,37;-0,60312;
139,694;0,22493;10,00;4,41;-0,56307;
140,702;0,21284;10,00;4,45;-0,52470;
