Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;953,03000;10,00;5,06;-1,06328;
1,002;953,07000;10,00;5,04;-1,08289;
2,011;953,08000;10,00;5,02;-1,10247;
3,019;953,11000;10,00;5,00;-1,12207;
4,029;953,14000;10,00;4,98;-1,14167;
5,032;953,16000;10,00;4,96;-1,16126;
6,034;953,20000;10,00;4,94;-1,18086;
7,040;953,20000;10,00;4,92;-1,20045;
8,046;953,09000;10,00;4,90;-1,21998;
9,055;909,86000;10,00;4,90;-1,21767;
10,062;746,67000;10,00;4,98;-1,14362;
11,072;651,38000;10,00;5,02;-1,09669;
12,081;573,76000;10,00;5,07;-1,05313;
13,089;507,02000;10,00;5,11;-1,00998;
14,096;448,96000;10,00;5,15;-0,96672;
15,104;398,17000;10,00;5,20;-0,92314;
16,115;353,66000;10,00;5,24;-0,87924;
17,124;314,70000;10,00;5,28;-0,83516;
18,126;280,35000;10,00;5,33;-0,79061;
19,133;250,00000;10,00;5,37;-0,74552;
20,142;223,32000;10,00;5,42;-0,70025;
21,148;199,86000;10,00;5,47;-0,65489;
22,149;179,15000;10,00;5,51;-0,60931;
23,157;160,84000;10,00;5,56;-0,56352;
24,166;144,51000;10,00;5,60;-0,51716;
25,166;130,06000;10,00;5,65;-0,47067;
26,172;117,48000;10,00;5,70;-0,42497;
27,178;106,05000;10,00;5,74;-0,37810;
28,186;96,09200;10,00;5,79;-0,33210;
29,192;87,28600;10,00;5,83;-0,28643;
30,201;79,83700;10,00;5,88;-0,24317;
31,205;73,65800;10,00;5,92;-0,20323;
32,211;68,28400;10,00;5,96;-0,16484;
33,214;63,86500;10,00;5,99;-0,12997;
34,219;60,59900;10,00;6,02;-0,10132;
35,228;57,97000;10,00;6,04;-0,07605;
36,233;56,58500;10,00;6,06;-0,05991;
37,239;55,50300;10,00;6,07;-0,04586;
38,247;54,88100;10,00;6,08;-0,03543;
39,255;54,88000;10,00;6,09;-0,03021;
40,259;55,40200;10,00;6,09;-0,02946;
41,268;56,41300;10,00;6,09;-0,03286;
42,278;57,89300;10,00;6,08;-0,04010;
43,283;59,77800;10,00;6,07;-0,05047;
44,292;61,85200;10,00;6,06;-0,06208;
45,293;64,00100;10,00;6,05;-0,07402;
46,294;66,21500;10,00;6,03;-0,08618;
47,302;68,43700;10,00;6,02;-0,09817;
48,307;70,62200;10,00;6,01;-0,10970;
49,309;72,63300;10,00;6,00;-0,11992;
50,310;74,45600;10,00;5,99;-0,12883;
51,314;76,07800;10,00;5,98;-0,13643;
52,316;77,36900;10,00;5,98;-0,14200;
53,319;78,37100;10,00;5,97;-0,14584;
54,323;79,06500;10,00;5,97;-0,14788;
55,333;79,53100;10,00;5,97;-0,14861;
56,343;79,71000;10,00;5,97;-0,14768;
57,352;79,69600;10,00;5,97;-0,14563;
58,355;79,45500;10,00;5,98;-0,14223;
59,364;79,12200;10,00;5,98;-0,13825;
60,371;78,74400;10,00;5,99;-0,13396;
61,379;78,21800;10,00;5,99;-0,12872;
62,379;77,63900;10,00;6,00;-0,12308;
63,381;77,05400;10,00;6,00;-0,11732;
64,387;76,56300;10,00;6,01;-0,11204;
65,396;76,08800;10,00;6,01;-0,10678;
66,404;75,67100;10,00;6,02;-0,10182;
67,413;75,29800;10,00;6,02;-0,09706;
68,423;75,00400;10,00;6,03;-0,09276;
69,424;74,75700;10,00;6,03;-0,08870;
70,429;74,52500;10,00;6,04;-0,08471;
71,430;74,38800;10,00;6,04;-0,08129;
72,437;74,30200;10,00;6,04;-0,07817;
73,443;74,31300;10,00;6,04;-0,07566;
74,445;74,41600;10,00;6,05;-0,07374;
75,449;74,64800;10,00;6,05;-0,07264;
76,453;74,86600;10,00;6,05;-0,07147;
77,459;75,05600;10,00;6,05;-0,07015;
78,464;75,33900;10,00;6,05;-0,06944;
79,467;75,65200;10,00;6,05;-0,06893;
80,473;76,01300;10,00;6,05;-0,06875;
81,474;76,35800;10,00;6,05;-0,06851;
82,482;76,71800;10,00;6,05;-0,06838;
83,488;77,08100;10,00;6,05;-0,06831;
84,492;77,46200;10,00;6,05;-0,06837;
85,497;77,75400;10,00;6,05;-0,06793;
86,499;78,05500;10,00;6,05;-0,06756;
87,508;78,25600;10,00;6,05;-0,06663;
88,516;78,45700;10,00;6,05;-0,06571;
89,526;78,70500;10,00;6,06;-0,06509;
90,526;79,01200;10,00;6,06;-0,06484;
91,529;79,31800;10,00;6,06;-0,06462;
92,536;79,59900;10,00;6,06;-0,06427;
93,542;79,83600;10,00;6,06;-0,06370;
94,544;80,00200;10,00;6,06;-0,06272;
95,545;80,18600;10,00;6,06;-0,06186;
96,554;80,33200;10,00;6,06;-0,06080;
97,558;80,51600;10,00;6,06;-0,05998;
98,566;80,67000;10,00;6,06;-0,05900;
99,575;80,80200;10,00;6,06;-0,05791;
100,575;80,93100;10,00;6,08;-0,03722;
101,585;81,02500;10,00;6,10;-0,01635;
