Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;958,86000;10,0;0.0;;0, 9,5886E+02,2, 1,3652E+00,5, 1,0000E+03
1,005;958,86000;10,0;0.0;;0, 9,5886E+02,2, 1,3652E+00,5, 1,0000E+03
2,006;958,87000;10,0;0.0;;0, 9,5887E+02,2, 1,3652E+00,5, 1,0000E+03
3,006;958,87000;10,0;0.0;;0, 9,5887E+02,2, 1,3652E+00,5, 1,0000E+03
4,007;958,88000;10,0;0.0;;0, 9,5888E+02,2, 1,3652E+00,5, 1,0000E+03
5,017;958,88000;10,0;0.0;;0, 9,5888E+02,2, 1,3652E+00,5, 1,0000E+03
6,018;958,88000;10,0;0.0;;0, 9,5888E+02,2, 1,3652E+00,5, 1,0000E+03
7,022;958,88000;10,0;0.0;;0, 9,5888E+02,2, 1,3652E+00,5, 1,0000E+03
8,022;956,62000;10,0;0.0;;0, 9,5662E+02,2, 1,3652E+00,5, 1,0000E+03
9,032;755,10000;10,0;0.0;;0, 7,5510E+02,2, 1,3652E+00,5, 1,0000E+03
10,033;645,09000;10,0;0.0;;0, 6,4509E+02,2, 1,3652E+00,5, 1,0000E+03
11,034;580,46000;10,0;0.0;;0, 5,8046E+02,2, 1,3652E+00,5, 1,0000E+03
12,043;533,70000;10,0;0.0;;0, 5,3370E+02,2, 1,3652E+00,5, 1,0000E+03
13,053;498,63000;10,0;0.0;;0, 4,9863E+02,2, 1,3652E+00,5, 1,0000E+03
14,060;471,97000;4,44;7,20;;0, 4,7197E+02,2, 1,3652E+00,5, 1,0000E+03
15,068;451,46000;4,72;7,20;;0, 4,5146E+02,2, 1,3652E+00,5, 1,0000E+03
16,072;435,71000;4,93;7,20;;0, 4,3571E+02,2, 1,3652E+00,5, 1,0000E+03
17,077;423,90000;5,09;7,20;;0, 4,2390E+02,2, 1,3652E+00,5, 1,0000E+03
18,083;414,57000;5,22;7,20;;0, 4,1457E+02,2, 1,3652E+00,5, 1,0000E+03
19,085;407,60000;5,31;7,20;;0, 4,0760E+02,2, 1,3652E+00,5, 1,0000E+03
20,086;402,08000;5,39;7,20;;0, 4,0208E+02,2, 1,3652E+00,5, 1,0000E+03
