Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;877,30000;10,0;0.0;;0, 8,7730E+02,2, 1,3652E+00,5, 1,0000E+03
1,010;877,30000;10,0;0.0;;0, 8,7730E+02,2, 1,3652E+00,5, 1,0000E+03
2,013;877,31000;10,0;0.0;;0, 8,7731E+02,2, 1,3652E+00,5, 1,0000E+03
3,014;877,22000;10,0;0.0;;0, 8,7722E+02,2, 1,3652E+00,5, 1,0000E+03
4,017;873,94000;10,0;0.0;;0, 8,7394E+02,2, 1,3652E+00,5, 1,0000E+03
5,026;694,53000;10,0;0.0;;0, 6,9453E+02,2, 1,3652E+00,5, 1,0000E+03
6,028;604,51000;10,0;0.0;;0, 6,0451E+02,2, 1,3652E+00,5, 1,0000E+03
7,034;550,16000;10,0;0.0;;0, 5,5016E+02,2, 1,3652E+00,5, 1,0000E+03
8,042;510,02000;10,0;0.0;;0, 5,1002E+02,2, 1,3652E+00,5, 1,0000E+03
9,043;479,33000;10,0;0.0;;0, 4,7933E+02,2, 1,3652E+00,5, 1,0000E+03
10,044;455,58000;10,0;0.0;;0, 4,5558E+02,2, 1,3652E+00,5, 1,0000E+03
11,048;437,16000;10,0;0.0;;0, 4,3716E+02,2, 1,3652E+00,5, 1,0000E+03
12,051;422,81000;10,0;0.0;;0, 4,2281E+02,2, 1,3652E+00,5, 1,0000E+03
13,060;411,89000;10,0;0.0;;0, 4,1189E+02,2, 1,3652E+00,5, 1,0000E+03
14,063;403,10000;5,38;7,20;;0, 4,0310E+02,2, 1,3652E+00,5, 1,0000E+03
15,066;396,49000;5,46;7,20;;0, 3,9649E+02,2, 1,3652E+00,5, 1,0000E+03
16,067;391,18000;5,54;7,21;;0, 3,9118E+02,2, 1,3652E+00,5, 1,0000E+03
17,071;386,89000;5,59;7,21;;0, 3,8689E+02,2, 1,3652E+00,5, 1,0000E+03
18,074;383,76000;5,64;7,21;;0, 3,8376E+02,2, 1,3652E+00,5, 1,0000E+03
19,076;381,05000;5,67;7,21;;0, 3,8105E+02,2, 1,3652E+00,5, 1,0000E+03
20,078;379,16000;5,70;7,21;;0, 3,7916E+02,2, 1,3652E+00,5, 1,0000E+03
21,082;378,56000;5,71;7,21;;0, 3,7856E+02,2, 1,3652E+00,5, 1,0000E+03
22,087;379,09000;5,70;7,21;;0, 3,7909E+02,2, 1,3652E+00,5, 1,0000E+03
23,087;379,88000;5,69;7,21;;0, 3,7988E+02,2, 1,3652E+00,5, 1,0000E+03
24,093;380,55000;5,68;7,21;;0, 3,8055E+02,2, 1,3652E+00,5, 1,0000E+03
25,097;381,13000;5,67;7,21;;0, 3,8113E+02,2, 1,3652E+00,5, 1,0000E+03
26,107;381,53000;5,67;7,21;;0, 3,8153E+02,2, 1,3652E+00,5, 1,0000E+03
27,117;381,82000;5,66;7,21;;0, 3,8182E+02,2, 1,3652E+00,5, 1,0000E+03
28,126;382,01000;5,66;7,21;;0, 3,8201E+02,2, 1,3652E+00,5, 1,0000E+03
29,127;382,10000;5,66;7,21;;0, 3,8210E+02,2, 1,3652E+00,5, 1,0000E+03
