Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;90,39200;10,0;5,35;;0, 9,0392E+01,2, 1,3652E+00,5, 1,0000E+03
1,002;90,39600;10,0;5,35;;0, 9,0396E+01,2, 1,3652E+00,5, 1,0000E+03
2,006;90,36600;10,0;5,35;;0, 9,0366E+01,2, 1,3652E+00,5, 1,0000E+03
3,016;90,29900;10,0;5,35;;0, 9,0299E+01,2, 1,3652E+00,5, 1,0000E+03
4,022;72,98200;10,0;5,35;;0, 7,2982E+01,2, 1,3652E+00,5, 1,0000E+03
5,027;60,46100;10,0;5,35;;0, 6,0461E+01,2, 1,3652E+00,5, 1,0000E+03
6,035;51,07000;10,0;5,35;;0, 5,1070E+01,2, 1,3652E+00,5, 1,0000E+03
7,039;43,47900;10,0;5,35;;0, 4,3479E+01,2, 1,3652E+00,5, 1,0000E+03
8,040;37,53900;10,0;5,35;;0, 3,7539E+01,2, 1,3652E+00,5, 1,0000E+03
9,047;32,32400;10,0;5,35;;0, 3,2324E+01,2, 1,3652E+00,5, 1,0000E+03
10,054;28,06800;10,0;5,35;;0, 2,8068E+01,2, 1,3652E+00,5, 1,0000E+03
11,055;24,89000;10,0;5,35;;0, 2,4890E+01,2, 1,3652E+00,5, 1,0000E+03
12,065;22,14700;10,0;5,35;;0, 2,2147E+01,2, 1,3652E+00,5, 1,0000E+03
13,073;20,42600;10,0;5,35;;0, 2,0426E+01,2, 1,3652E+00,5, 1,0000E+03
14,073;18,75800;10,0;5,35;;0, 1,8758E+01,2, 1,3652E+00,5, 1,0000E+03
15,081;17,17200;10,0;5,35;;0, 1,7172E+01,2, 1,3652E+00,5, 1,0000E+03
16,089;15,81000;10,0;5,35;;0, 1,5810E+01,2, 1,3652E+00,5, 1,0000E+03
17,098;14,65600;10,0;5,35;;0, 1,4656E+01,2, 1,3652E+00,5, 1,0000E+03
18,105;13,73100;10,0;5,35;;0, 1,3731E+01,2, 1,3652E+00,5, 1,0000E+03
19,111;12,98000;10,0;5,35;;0, 1,2980E+01,2, 1,3652E+00,5, 1,0000E+03
20,119;12,36400;10,0;5,35;;0, 1,2364E+01,2, 1,3652E+00,5, 1,0000E+03
21,125;11,83400;10,0;5,35;;0, 1,1834E+01,2, 1,3652E+00,5, 1,0000E+03
22,133;11,44000;10,0;5,35;;0, 1,1440E+01,2, 1,3652E+00,5, 1,0000E+03
23,139;11,10400;10,0;5,35;;0, 1,1104E+01,2, 1,3652E+00,5, 1,0000E+03
24,147;10,84800;10,0;5,35;;0, 1,0848E+01,2, 1,3652E+00,5, 1,0000E+03
25,157;10,59900;10,0;5,35;;0, 1,0599E+01,2, 1,3652E+00,5, 1,0000E+03
26,166;10,41400;9,48;5,36;;0, 1,0414E+01,2, 1,3652E+00,5, 1,0000E+03
27,175;10,26200;9,63;5,36;;0, 1,0262E+01,2, 1,3652E+00,5, 1,0000E+03
28,184;10,12100;9,77;5,36;;0, 1,0121E+01,2, 1,3652E+00,5, 1,0000E+03
29,194;10,03600;9,85;5,36;;0, 1,0036E+01,2, 1,3652E+00,5, 1,0000E+03
30,202;9,98700;9,90;5,36;;0, 9,9870E+00,2, 1,3652E+00,5, 1,0000E+03
