Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;959,16000;10,0;6,10;;0, 9,5916E+02,2, 1,3652E+00,5, 1,0000E+03
1,001;959,16000;10,0;6,10;;0, 9,5916E+02,2, 1,3652E+00,5, 1,0000E+03
2,002;959,16000;10,0;6,10;;0, 9,5916E+02,2, 1,3652E+00,5, 1,0000E+03
3,009;959,16000;10,0;6,10;;0, 9,5916E+02,2, 1,3652E+00,5, 1,0000E+03
4,014;957,44000;10,0;6,10;;0, 9,5744E+02,2, 1,3652E+00,5, 1,0000E+03
5,016;742,55000;10,0;6,10;;0, 7,4255E+02,2, 1,3652E+00,5, 1,0000E+03
6,023;583,78000;10,0;6,10;;0, 5,8378E+02,2, 1,3652E+00,5, 1,0000E+03
7,024;478,96000;10,0;6,10;;0, 4,7896E+02,2, 1,3652E+00,5, 1,0000E+03
8,034;398,84000;10,0;6,10;;0, 3,9884E+02,2, 1,3652E+00,5, 1,0000E+03
9,038;336,36000;10,0;6,10;;0, 3,3636E+02,2, 1,3652E+00,5, 1,0000E+03
10,042;287,20000;10,0;6,10;;0, 2,8720E+02,2, 1,3652E+00,5, 1,0000E+03
11,052;248,44000;10,0;6,10;;0, 2,4844E+02,2, 1,3652E+00,5, 1,0000E+03
12,052;218,01000;10,0;6,10;;0, 2,1801E+02,2, 1,3652E+00,5, 1,0000E+03
13,061;193,75000;10,0;6,10;;0, 1,9375E+02,2, 1,3652E+00,5, 1,0000E+03
14,070;174,40000;10,0;6,10;;0, 1,7440E+02,2, 1,3652E+00,5, 1,0000E+03
15,077;158,90000;10,0;6,10;;0, 1,5890E+02,2, 1,3652E+00,5, 1,0000E+03
16,081;146,64000;10,0;6,10;;0, 1,4664E+02,2, 1,3652E+00,5, 1,0000E+03
17,091;136,51000;10,0;6,10;;0, 1,3651E+02,2, 1,3652E+00,5, 1,0000E+03
18,099;128,35000;10,0;6,10;;0, 1,2835E+02,2, 1,3652E+00,5, 1,0000E+03
19,107;122,04000;10,0;6,10;;0, 1,2204E+02,2, 1,3652E+00,5, 1,0000E+03
20,117;116,88000;10,0;6,10;;0, 1,1688E+02,2, 1,3652E+00,5, 1,0000E+03
21,126;112,66000;10,0;6,10;;0, 1,1266E+02,2, 1,3652E+00,5, 1,0000E+03
22,131;109,50000;10,0;6,10;;0, 1,0950E+02,2, 1,3652E+00,5, 1,0000E+03
23,139;106,90000;10,0;6,10;;0, 1,0690E+02,2, 1,3652E+00,5, 1,0000E+03
24,147;105,36000;8,38;6,12;;0, 1,0536E+02,2, 1,3652E+00,5, 1,0000E+03
25,148;103,71000;8,53;6,12;;0, 1,0371E+02,2, 1,3652E+00,5, 1,0000E+03
26,157;102,17000;8,66;6,12;;0, 1,0217E+02,2, 1,3652E+00,5, 1,0000E+03
27,167;100,92000;8,77;6,12;;0, 1,0092E+02,2, 1,3652E+00,5, 1,0000E+03
28,168;99,94500;8,86;6,12;;0, 9,9945E+01,2, 1,3652E+00,5, 1,0000E+03
