Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,12000;10,00;0,00;-6,37376;
1,002;966,12000;10,00;0,00;-6,37376;
2,003;966,04000;10,00;0,00;-6,37371;
3,008;958,98000;10,00;0,00;-6,36861;
4,017;707,47000;10,00;0,00;-6,15733;
5,019;549,38000;10,00;0,00;-5,98165;
6,021;438,34000;10,00;0,00;-5,82481;
7,027;352,20000;10,00;0,00;-5,67283;
8,028;284,26000;10,00;0,00;-5,52396;
9,032;230,30000;10,00;0,00;-5,37774;
10,043;187,42000;10,00;0,00;-5,23463;
11,050;153,32000;10,00;0,00;-5,09513;
12,061;125,50000;10,00;0,01;-4,95605;
13,062;102,94000;10,00;0,15;-4,81841;
14,070;84,65700;10,00;0,29;-4,68258;
15,071;69,76700;10,00;0,42;-4,54821;
16,076;57,83400;10,00;0,55;-4,41791;
17,080;47,81700;10,00;0,68;-4,28580;
18,088;39,63000;10,00;0,81;-4,15535;
19,095;33,02800;10,00;0,94;-4,02877;
20,099;27,50300;10,00;1,07;-3,90161;
21,105;22,92600;10,00;1,19;-3,77517;
22,142;19,27200;10,00;1,32;-3,65457;
23,145;16,40900;10,00;1,43;-3,54286;
24,150;13,87200;10,00;1,54;-3,42619;
25,155;12,24300;10,00;1,63;-3,33942;
26,161;10,83800;10,00;1,72;-3,25475;
27,164;9,41540;10,00;1,81;-3,15701;
28,174;8,15340;10,00;1,91;-3,05705;
29,180;7,08300;10,00;2,01;-2,95929;
30,184;6,17070;10,00;2,11;-2,86351;
31,186;5,38500;10,00;2,20;-2,76890;
32,192;4,76090;10,00;2,29;-2,68334;
33,200;4,19340;10,00;2,37;-2,59518;
34,203;3,70090;10,00;2,46;-2,50839;
35,208;3,26840;10,00;2,55;-2,42207;
36,212;2,93210;10,00;2,62;-2,34664;
37,216;2,63410;10,00;2,70;-2,27220;
38,223;2,41250;10,00;2,76;-2,21116;
39,226;2,10170;10,00;2,85;-2,11535;
40,231;1,87390;10,00;2,93;-2,03566;
41,238;1,68240;10,00;3,01;-1,96078;
42,246;1,50420;10,00;3,09;-1,88301;
43,257;1,36520;10,00;3,15;-1,81566;
44,257;1,24640;10,00;3,22;-1,75242;
45,260;1,12620;10,00;3,29;-1,68198;
46,263;1,03440;10,00;3,35;-1,62292;
47,265;0,95933;10,00;3,40;-1,57059;
48,270;0,87862;10,00;3,46;-1,50954;
49,271;0,82343;10,00;3,51;-1,46448;
50,279;0,77299;10,00;3,55;-1,42057;
51,282;0,73449;10,00;3,58;-1,38508;
52,287;0,72157;10,00;3,60;-1,37275;
53,290;0,69259;10,00;3,63;-1,34428;
54,300;0,64937;10,00;3,67;-1,29952;
55,303;0,49738;10,00;3,86;-1,11430;
56,310;0,46207;10,00;3,91;-1,06315;
57,314;0,43021;10,00;3,96;-1,01353;
58,324;0,40403;10,00;4,00;-0,96991;
59,329;0,38579;10,00;4,03;-0,93783;
60,332;0,37284;10,00;4,06;-0,91411;
61,339;0,36394;10,00;4,07;-0,89733;
62,344;0,35869;10,00;4,08;-0,88723;
63,345;0,35578;10,00;4,09;-0,88157;
64,355;0,35444;10,00;4,09;-0,87895;
65,359;0,35371;10,00;4,09;-0,87752;
66,362;0,35295;10,00;4,09;-0,87603;
