Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
1,118;962,99000;2,00;8,00;;b'0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
2,119;962,99000;2,00;8,00;;b'0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
3,120;962,99000;2,00;8,00;;b'0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6299E+02,2, 1,3652E+00,5, 1,0000E+03
4,121;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
5,121;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
6,122;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
7,122;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
8,124;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
9,124;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
10,125;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
11,126;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
12,126;963,00000;2,00;8,00;;b'0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6300E+02,2, 1,3652E+00,5, 1,0000E+03
