Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
1,005;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
2,011;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
3,020;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
4,020;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
5,026;331,31000;10,0;0.0;;0, 3,3131E+02,2, 1,3652E+00,5, 1,0000E+03
6,032;331,27000;10,0;0.0;;0, 3,3127E+02,2, 1,3652E+00,5, 1,0000E+03
7,036;344,97000;10,0;0.0;;0, 3,4497E+02,2, 1,3652E+00,5, 1,0000E+03
8,042;662,77000;10,0;0.0;;0, 6,6277E+02,2, 1,3652E+00,5, 1,0000E+03
9,043;845,74000;10,0;0.0;;0, 8,4574E+02,2, 1,3652E+00,5, 1,0000E+03
10,052;882,54000;10,0;0.0;;0, 8,8254E+02,2, 1,3652E+00,5, 1,0000E+03
11,057;888,27000;0,00;10,00;;0, 8,8827E+02,2, 1,3652E+00,5, 1,0000E+03
12,057;889,24000;0,00;10,00;;0, 8,8924E+02,2, 1,3652E+00,5, 1,0000E+03
13,064;889,52000;0,00;10,00;;0, 8,8952E+02,2, 1,3652E+00,5, 1,0000E+03
14,070;889,75000;0,00;10,00;;0, 8,8975E+02,2, 1,3652E+00,5, 1,0000E+03
15,075;889,92000;0,00;10,00;;0, 8,8992E+02,2, 1,3652E+00,5, 1,0000E+03
16,085;890,05000;0,00;10,00;;0, 8,9005E+02,2, 1,3652E+00,5, 1,0000E+03
17,093;890,17000;0,00;10,00;;0, 8,9017E+02,2, 1,3652E+00,5, 1,0000E+03
18,095;890,29000;0,00;10,00;;0, 8,9029E+02,2, 1,3652E+00,5, 1,0000E+03
19,102;890,36000;0,00;10,00;;0, 8,9036E+02,2, 1,3652E+00,5, 1,0000E+03
20,104;890,45000;0,00;10,00;;0, 8,9045E+02,2, 1,3652E+00,5, 1,0000E+03
21,108;890,53000;0,00;10,00;;0, 8,9053E+02,2, 1,3652E+00,5, 1,0000E+03
22,111;890,60000;0,00;10,00;;0, 8,9060E+02,2, 1,3652E+00,5, 1,0000E+03
23,117;890,66000;0,00;10,00;;0, 8,9066E+02,2, 1,3652E+00,5, 1,0000E+03
24,124;890,74000;0,00;10,00;;0, 8,9074E+02,2, 1,3652E+00,5, 1,0000E+03
25,125;890,82000;0,00;10,00;;0, 8,9082E+02,2, 1,3652E+00,5, 1,0000E+03
26,126;890,84000;0,00;10,00;;0, 8,9084E+02,2, 1,3652E+00,5, 1,0000E+03
27,126;890,90000;0,00;10,00;;0, 8,9090E+02,2, 1,3652E+00,5, 1,0000E+03
28,131;890,95000;0,00;10,00;;0, 8,9095E+02,2, 1,3652E+00,5, 1,0000E+03
29,140;890,97000;0,00;10,00;;0, 8,9097E+02,2, 1,3652E+00,5, 1,0000E+03
30,142;890,97000;0,00;10,00;;0, 8,9097E+02,2, 1,3652E+00,5, 1,0000E+03
31,149;890,99000;0,00;10,00;;0, 8,9099E+02,2, 1,3652E+00,5, 1,0000E+03
32,153;891,02000;0,00;10,00;;0, 8,9102E+02,2, 1,3652E+00,5, 1,0000E+03
33,154;891,05000;0,00;10,00;;0, 8,9105E+02,2, 1,3652E+00,5, 1,0000E+03
34,156;891,10000;0,00;10,00;;0, 8,9110E+02,2, 1,3652E+00,5, 1,0000E+03
35,159;891,12000;0,00;10,00;;0, 8,9112E+02,2, 1,3652E+00,5, 1,0000E+03
36,169;891,14000;0,00;10,00;;0, 8,9114E+02,2, 1,3652E+00,5, 1,0000E+03
37,179;891,15000;0,00;10,00;;0, 8,9115E+02,2, 1,3652E+00,5, 1,0000E+03
38,189;891,15000;0,00;10,00;;0, 8,9115E+02,2, 1,3652E+00,5, 1,0000E+03
39,195;891,14000;0,00;10,00;;0, 8,9114E+02,2, 1,3652E+00,5, 1,0000E+03
40,197;891,18000;0,00;10,00;;0, 8,9118E+02,2, 1,3652E+00,5, 1,0000E+03
41,203;891,19000;0,00;10,00;;0, 8,9119E+02,2, 1,3652E+00,5, 1,0000E+03
42,204;891,23000;0,00;10,00;;0, 8,9123E+02,2, 1,3652E+00,5, 1,0000E+03
43,208;891,25000;0,00;10,00;;0, 8,9125E+02,2, 1,3652E+00,5, 1,0000E+03
44,211;891,27000;0,00;10,00;;0, 8,9127E+02,2, 1,3652E+00,5, 1,0000E+03
45,216;891,31000;0,00;10,00;;0, 8,9131E+02,2, 1,3652E+00,5, 1,0000E+03
46,223;891,31000;0,00;10,00;;0, 8,9131E+02,2, 1,3652E+00,5, 1,0000E+03
47,226;891,35000;0,00;10,00;;0, 8,9135E+02,2, 1,3652E+00,5, 1,0000E+03
48,227;891,39000;0,00;10,00;;0, 8,9139E+02,2, 1,3652E+00,5, 1,0000E+03
49,228;891,39000;0,00;10,00;;0, 8,9139E+02,2, 1,3652E+00,5, 1,0000E+03
50,238;891,37000;0,00;10,00;;0, 8,9137E+02,2, 1,3652E+00,5, 1,0000E+03
51,244;891,36000;0,00;10,00;;0, 8,9136E+02,2, 1,3652E+00,5, 1,0000E+03
52,244;891,35000;0,00;10,00;;0, 8,9135E+02,2, 1,3652E+00,5, 1,0000E+03
53,249;891,36000;0,00;10,00;;0, 8,9136E+02,2, 1,3652E+00,5, 1,0000E+03
54,253;891,37000;0,00;10,00;;0, 8,9137E+02,2, 1,3652E+00,5, 1,0000E+03
55,257;891,40000;0,00;10,00;;0, 8,9140E+02,2, 1,3652E+00,5, 1,0000E+03
56,259;891,43000;0,00;10,00;;0, 8,9143E+02,2, 1,3652E+00,5, 1,0000E+03
57,269;891,42000;0,00;10,00;;0, 8,9142E+02,2, 1,3652E+00,5, 1,0000E+03
58,276;891,44000;0,00;10,00;;0, 8,9144E+02,2, 1,3652E+00,5, 1,0000E+03
59,281;891,44000;0,00;10,00;;0, 8,9144E+02,2, 1,3652E+00,5, 1,0000E+03
60,287;891,46000;0,00;10,00;;0, 8,9146E+02,2, 1,3652E+00,5, 1,0000E+03
61,291;891,49000;0,00;10,00;;0, 8,9149E+02,2, 1,3652E+00,5, 1,0000E+03
62,296;891,53000;0,00;10,00;;0, 8,9153E+02,2, 1,3652E+00,5, 1,0000E+03
63,304;891,54000;0,00;10,00;;0, 8,9154E+02,2, 1,3652E+00,5, 1,0000E+03
64,308;891,54000;0,00;10,00;;0, 8,9154E+02,2, 1,3652E+00,5, 1,0000E+03
65,309;891,55000;0,00;10,00;;0, 8,9155E+02,2, 1,3652E+00,5, 1,0000E+03
66,316;891,56000;0,00;10,00;;0, 8,9156E+02,2, 1,3652E+00,5, 1,0000E+03
67,319;891,60000;0,00;10,00;;0, 8,9160E+02,2, 1,3652E+00,5, 1,0000E+03
68,324;891,58000;0,00;10,00;;0, 8,9158E+02,2, 1,3652E+00,5, 1,0000E+03
69,326;891,59000;0,00;10,00;;0, 8,9159E+02,2, 1,3652E+00,5, 1,0000E+03
70,332;891,57000;0,00;10,00;;0, 8,9157E+02,2, 1,3652E+00,5, 1,0000E+03
71,332;891,54000;0,00;10,00;;0, 8,9154E+02,2, 1,3652E+00,5, 1,0000E+03
72,337;891,53000;0,00;10,00;;0, 8,9153E+02,2, 1,3652E+00,5, 1,0000E+03
