Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;960,38000;10,0;0.0;;0, 9,6038E+02,2, 1,3652E+00,5, 1,0000E+03
1,010;960,38000;10,0;0.0;;0, 9,6038E+02,2, 1,3652E+00,5, 1,0000E+03
2,021;960,28000;10,0;0.0;;0, 9,6028E+02,2, 1,3652E+00,5, 1,0000E+03
3,021;802,68000;10,0;0.0;;0, 8,0268E+02,2, 1,3652E+00,5, 1,0000E+03
4,027;666,06000;10,0;0.0;;0, 6,6606E+02,2, 1,3652E+00,5, 1,0000E+03
5,028;597,08000;10,0;0.0;;0, 5,9708E+02,2, 1,3652E+00,5, 1,0000E+03
6,029;548,34000;10,0;0.0;;0, 5,4834E+02,2, 1,3652E+00,5, 1,0000E+03
7,031;512,02000;10,0;0.0;;0, 5,1202E+02,2, 1,3652E+00,5, 1,0000E+03
8,032;484,66000;10,0;0.0;;0, 4,8466E+02,2, 1,3652E+00,5, 1,0000E+03
9,034;463,58000;10,0;0.0;;0, 4,6358E+02,2, 1,3652E+00,5, 1,0000E+03
10,039;447,39000;10,0;0.0;;0, 4,4739E+02,2, 1,3652E+00,5, 1,0000E+03
11,047;435,16000;10,0;0.0;;0, 4,3516E+02,2, 1,3652E+00,5, 1,0000E+03
12,056;425,50000;10,0;0.0;;0, 4,2550E+02,2, 1,3652E+00,5, 1,0000E+03
13,062;418,14000;10,0;0.0;;0, 4,1814E+02,2, 1,3652E+00,5, 1,0000E+03
14,064;412,48000;5,59;7,20;;0, 4,1248E+02,2, 1,3652E+00,5, 1,0000E+03
15,070;407,89000;5,52;7,20;;0, 4,0789E+02,2, 1,3652E+00,5, 1,0000E+03
16,076;404,61000;5,48;7,20;;0, 4,0461E+02,2, 1,3652E+00,5, 1,0000E+03
17,083;401,90000;5,44;7,20;;0, 4,0190E+02,2, 1,3652E+00,5, 1,0000E+03
18,084;400,35000;5,42;7,20;;0, 4,0035E+02,2, 1,3652E+00,5, 1,0000E+03
19,088;398,82000;5,43;7,20;;0, 3,9882E+02,2, 1,3652E+00,5, 1,0000E+03
20,092;397,43000;5,45;7,20;;0, 3,9743E+02,2, 1,3652E+00,5, 1,0000E+03
21,095;396,26000;5,47;7,20;;0, 3,9626E+02,2, 1,3652E+00,5, 1,0000E+03
22,100;395,38000;5,48;7,20;;0, 3,9538E+02,2, 1,3652E+00,5, 1,0000E+03
23,101;394,63000;5,49;7,20;;0, 3,9463E+02,2, 1,3652E+00,5, 1,0000E+03
24,105;394,03000;5,50;7,20;;0, 3,9403E+02,2, 1,3652E+00,5, 1,0000E+03
25,108;393,54000;5,50;7,20;;0, 3,9354E+02,2, 1,3652E+00,5, 1,0000E+03
26,115;393,15000;5,51;7,20;;0, 3,9315E+02,2, 1,3652E+00,5, 1,0000E+03
27,124;392,83000;5,51;7,20;;0, 3,9283E+02,2, 1,3652E+00,5, 1,0000E+03
28,129;392,62000;5,52;7,20;;0, 3,9262E+02,2, 1,3652E+00,5, 1,0000E+03
29,138;392,42000;5,52;7,20;;0, 3,9242E+02,2, 1,3652E+00,5, 1,0000E+03
30,140;392,31000;5,52;7,20;;0, 3,9231E+02,2, 1,3652E+00,5, 1,0000E+03
31,150;392,24000;5,52;7,20;;0, 3,9224E+02,2, 1,3652E+00,5, 1,0000E+03
32,154;392,19000;5,52;7,20;;0, 3,9219E+02,2, 1,3652E+00,5, 1,0000E+03
33,160;392,12000;5,52;7,20;;0, 3,9212E+02,2, 1,3652E+00,5, 1,0000E+03
34,163;392,08000;5,52;7,20;;0, 3,9208E+02,2, 1,3652E+00,5, 1,0000E+03
35,167;392,06000;5,52;7,20;;0, 3,9206E+02,2, 1,3652E+00,5, 1,0000E+03
36,169;392,02000;5,53;7,20;;0, 3,9202E+02,2, 1,3652E+00,5, 1,0000E+03
37,170;391,98000;5,53;7,20;;0, 3,9198E+02,2, 1,3652E+00,5, 1,0000E+03
38,170;391,93000;5,53;7,20;;0, 3,9193E+02,2, 1,3652E+00,5, 1,0000E+03
39,173;391,89000;5,53;7,20;;0, 3,9189E+02,2, 1,3652E+00,5, 1,0000E+03
40,173;391,84000;5,53;7,20;;0, 3,9184E+02,2, 1,3652E+00,5, 1,0000E+03
41,176;391,88000;5,53;7,20;;0, 3,9188E+02,2, 1,3652E+00,5, 1,0000E+03
