Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;80,05300;10,0;5,78;;0, 8,0053E+01,2, 1,3652E+00,5, 1,0000E+03
1,008;80,05700;10,0;5,78;;0, 8,0057E+01,2, 1,3652E+00,5, 1,0000E+03
2,017;80,06600;10,0;5,78;;0, 8,0066E+01,2, 1,3652E+00,5, 1,0000E+03
3,027;80,48300;10,0;5,78;;0, 8,0483E+01,2, 1,3652E+00,5, 1,0000E+03
4,035;71,29000;10,0;5,78;;0, 7,1290E+01,2, 1,3652E+00,5, 1,0000E+03
5,044;65,88200;10,0;5,78;;0, 6,5882E+01,2, 1,3652E+00,5, 1,0000E+03
6,053;62,42400;10,0;5,78;;0, 6,2424E+01,2, 1,3652E+00,5, 1,0000E+03
7,062;59,75900;10,0;5,78;;0, 5,9759E+01,2, 1,3652E+00,5, 1,0000E+03
8,069;57,83300;10,0;5,78;;0, 5,7833E+01,2, 1,3652E+00,5, 1,0000E+03
9,077;56,35400;10,0;5,78;;0, 5,6354E+01,2, 1,3652E+00,5, 1,0000E+03
10,080;54,82800;10,0;5,78;;0, 5,4828E+01,2, 1,3652E+00,5, 1,0000E+03
11,080;53,49500;10,0;5,78;;0, 5,3495E+01,2, 1,3652E+00,5, 1,0000E+03
12,087;52,37400;8,77;5,79;;0, 5,2374E+01,2, 1,3652E+00,5, 1,0000E+03
13,092;51,44600;8,98;5,79;;0, 5,1446E+01,2, 1,3652E+00,5, 1,0000E+03
14,098;50,71200;9,15;5,79;;0, 5,0712E+01,2, 1,3652E+00,5, 1,0000E+03
15,100;50,12100;9,29;5,79;;0, 5,0121E+01,2, 1,3652E+00,5, 1,0000E+03
16,111;49,61200;9,40;5,79;;0, 4,9612E+01,2, 1,3652E+00,5, 1,0000E+03
17,111;49,17900;9,50;5,79;;0, 4,9179E+01,2, 1,3652E+00,5, 1,0000E+03
18,120;48,90700;9,58;5,79;;0, 4,8907E+01,2, 1,3652E+00,5, 1,0000E+03
19,123;48,63100;9,63;5,79;;0, 4,8631E+01,2, 1,3652E+00,5, 1,0000E+03
20,124;48,41800;9,69;5,79;;0, 4,8418E+01,2, 1,3652E+00,5, 1,0000E+03
21,134;48,23000;9,73;5,79;;0, 4,8230E+01,2, 1,3652E+00,5, 1,0000E+03
22,136;48,11700;9,76;5,80;;0, 4,8117E+01,2, 1,3652E+00,5, 1,0000E+03
23,145;47,99200;9,78;5,80;;0, 4,7992E+01,2, 1,3652E+00,5, 1,0000E+03
24,154;47,86900;9,81;5,80;;0, 4,7869E+01,2, 1,3652E+00,5, 1,0000E+03
25,155;47,76900;9,83;5,80;;0, 4,7769E+01,2, 1,3652E+00,5, 1,0000E+03
26,161;47,69800;9,85;5,80;;0, 4,7698E+01,2, 1,3652E+00,5, 1,0000E+03
27,170;47,64500;9,86;5,80;;0, 4,7645E+01,2, 1,3652E+00,5, 1,0000E+03
28,173;47,63100;9,87;5,80;;0, 4,7631E+01,2, 1,3652E+00,5, 1,0000E+03
29,173;47,61800;9,87;5,80;;0, 4,7618E+01,2, 1,3652E+00,5, 1,0000E+03
30,183;47,62200;9,88;5,80;;0, 4,7622E+01,2, 1,3652E+00,5, 1,0000E+03
31,191;47,59900;9,88;5,80;;0, 4,7599E+01,2, 1,3652E+00,5, 1,0000E+03
32,201;47,58200;9,88;5,80;;0, 4,7582E+01,2, 1,3652E+00,5, 1,0000E+03
33,202;47,60900;9,88;5,80;;0, 4,7609E+01,2, 1,3652E+00,5, 1,0000E+03
34,202;47,69100;9,88;5,80;;0, 4,7691E+01,2, 1,3652E+00,5, 1,0000E+03
35,207;47,86300;9,86;5,80;;0, 4,7863E+01,2, 1,3652E+00,5, 1,0000E+03
36,217;48,01400;9,83;5,80;;0, 4,8014E+01,2, 1,3652E+00,5, 1,0000E+03
37,227;48,10400;9,80;5,80;;0, 4,8104E+01,2, 1,3652E+00,5, 1,0000E+03
38,229;48,22200;9,78;5,80;;0, 4,8222E+01,2, 1,3652E+00,5, 1,0000E+03
39,234;48,32000;9,76;5,80;;0, 4,8320E+01,2, 1,3652E+00,5, 1,0000E+03
40,236;48,40100;9,74;5,80;;0, 4,8401E+01,2, 1,3652E+00,5, 1,0000E+03
41,245;48,45300;9,73;5,80;;0, 4,8453E+01,2, 1,3652E+00,5, 1,0000E+03
42,246;48,47200;9,72;5,80;;0, 4,8472E+01,2, 1,3652E+00,5, 1,0000E+03
43,246;48,51400;9,72;5,80;;0, 4,8514E+01,2, 1,3652E+00,5, 1,0000E+03
44,255;48,54000;9,71;5,80;;0, 4,8540E+01,2, 1,3652E+00,5, 1,0000E+03
45,264;48,56100;9,70;5,80;;0, 4,8561E+01,2, 1,3652E+00,5, 1,0000E+03
46,269;48,58400;9,70;5,80;;0, 4,8584E+01,2, 1,3652E+00,5, 1,0000E+03
47,278;48,60300;9,69;5,81;;0, 4,8603E+01,2, 1,3652E+00,5, 1,0000E+03
48,287;48,60300;9,69;5,81;;0, 4,8603E+01,2, 1,3652E+00,5, 1,0000E+03
49,297;48,63800;9,69;5,81;;0, 4,8638E+01,2, 1,3652E+00,5, 1,0000E+03
50,305;48,64100;9,68;5,81;;0, 4,8641E+01,2, 1,3652E+00,5, 1,0000E+03
51,313;48,64200;9,68;5,81;;0, 4,8642E+01,2, 1,3652E+00,5, 1,0000E+03
52,315;48,64700;9,68;5,81;;0, 4,8647E+01,2, 1,3652E+00,5, 1,0000E+03
53,319;48,64800;9,68;5,81;;0, 4,8648E+01,2, 1,3652E+00,5, 1,0000E+03
54,320;48,66600;9,68;5,81;;0, 4,8666E+01,2, 1,3652E+00,5, 1,0000E+03
55,321;48,64600;9,68;5,81;;0, 4,8646E+01,2, 1,3652E+00,5, 1,0000E+03
56,322;48,66500;9,68;5,81;;0, 4,8665E+01,2, 1,3652E+00,5, 1,0000E+03
57,325;48,64900;9,68;5,81;;0, 4,8649E+01,2, 1,3652E+00,5, 1,0000E+03
58,335;48,67700;9,68;5,81;;0, 4,8677E+01,2, 1,3652E+00,5, 1,0000E+03
59,343;48,67500;9,68;5,81;;0, 4,8675E+01,2, 1,3652E+00,5, 1,0000E+03
60,344;48,66300;9,68;5,81;;0, 4,8663E+01,2, 1,3652E+00,5, 1,0000E+03
61,354;48,67900;9,68;5,81;;0, 4,8679E+01,2, 1,3652E+00,5, 1,0000E+03
62,354;48,68800;9,68;5,81;;0, 4,8688E+01,2, 1,3652E+00,5, 1,0000E+03
63,356;48,68400;9,67;5,81;;0, 4,8684E+01,2, 1,3652E+00,5, 1,0000E+03
64,359;48,68700;9,68;5,81;;0, 4,8687E+01,2, 1,3652E+00,5, 1,0000E+03
65,359;48,67800;9,68;5,81;;0, 4,8678E+01,2, 1,3652E+00,5, 1,0000E+03
66,361;48,65000;9,68;5,81;;0, 4,8650E+01,2, 1,3652E+00,5, 1,0000E+03
67,362;48,64600;9,68;5,81;;0, 4,8646E+01,2, 1,3652E+00,5, 1,0000E+03
68,374;48,64800;9,68;5,81;;0, 4,8648E+01,2, 1,3652E+00,5, 1,0000E+03
69,375;48,64500;9,68;5,81;;0, 4,8645E+01,2, 1,3652E+00,5, 1,0000E+03
70,376;48,64200;9,68;5,81;;0, 4,8642E+01,2, 1,3652E+00,5, 1,0000E+03
71,382;48,64600;9,68;5,81;;0, 4,8646E+01,2, 1,3652E+00,5, 1,0000E+03
72,384;48,64600;9,68;5,81;;0, 4,8646E+01,2, 1,3652E+00,5, 1,0000E+03
73,392;48,65200;9,68;5,81;;0, 4,8652E+01,2, 1,3652E+00,5, 1,0000E+03
74,394;48,64700;9,68;5,81;;0, 4,8647E+01,2, 1,3652E+00,5, 1,0000E+03
75,394;48,65600;9,68;5,81;;0, 4,8656E+01,2, 1,3652E+00,5, 1,0000E+03
76,394;48,64500;9,68;5,81;;0, 4,8645E+01,2, 1,3652E+00,5, 1,0000E+03
77,404;48,64300;9,68;5,81;;0, 4,8643E+01,2, 1,3652E+00,5, 1,0000E+03
78,413;48,71100;9,68;5,81;;0, 4,8711E+01,2, 1,3652E+00,5, 1,0000E+03
79,422;48,82900;9,67;5,81;;0, 4,8829E+01,2, 1,3652E+00,5, 1,0000E+03
80,423;48,93000;9,65;5,81;;0, 4,8930E+01,2, 1,3652E+00,5, 1,0000E+03
81,433;49,08800;9,63;5,81;;0, 4,9088E+01,2, 1,3652E+00,5, 1,0000E+03
82,443;49,23200;9,60;5,81;;0, 4,9232E+01,2, 1,3652E+00,5, 1,0000E+03
83,444;49,32500;9,57;5,81;;0, 4,9325E+01,2, 1,3652E+00,5, 1,0000E+03
84,446;49,43900;9,55;5,81;;0, 4,9439E+01,2, 1,3652E+00,5, 1,0000E+03
85,455;49,53200;9,53;5,81;;0, 4,9532E+01,2, 1,3652E+00,5, 1,0000E+03
86,460;49,57900;9,52;5,81;;0, 4,9579E+01,2, 1,3652E+00,5, 1,0000E+03
87,461;49,62200;9,51;5,81;;0, 4,9622E+01,2, 1,3652E+00,5, 1,0000E+03
88,463;49,66100;9,50;5,81;;0, 4,9661E+01,2, 1,3652E+00,5, 1,0000E+03
89,473;49,70500;9,49;5,81;;0, 4,9705E+01,2, 1,3652E+00,5, 1,0000E+03
90,482;49,73900;9,48;5,81;;0, 4,9739E+01,2, 1,3652E+00,5, 1,0000E+03
91,490;49,75600;9,48;5,81;;0, 4,9756E+01,2, 1,3652E+00,5, 1,0000E+03
92,498;49,79100;9,47;5,81;;0, 4,9791E+01,2, 1,3652E+00,5, 1,0000E+03
93,499;49,80100;9,47;5,81;;0, 4,9801E+01,2, 1,3652E+00,5, 1,0000E+03
94,501;49,83400;9,47;5,81;;0, 4,9834E+01,2, 1,3652E+00,5, 1,0000E+03
95,503;49,84100;9,46;5,81;;0, 4,9841E+01,2, 1,3652E+00,5, 1,0000E+03
96,504;49,84400;9,46;5,81;;0, 4,9844E+01,2, 1,3652E+00,5, 1,0000E+03
97,504;49,85100;9,46;5,81;;0, 4,9851E+01,2, 1,3652E+00,5, 1,0000E+03
98,504;49,87800;9,46;5,81;;0, 4,9878E+01,2, 1,3652E+00,5, 1,0000E+03
99,506;49,88500;9,45;5,81;;0, 4,9885E+01,2, 1,3652E+00,5, 1,0000E+03
100,515;49,88500;9,45;5,81;;0, 4,9885E+01,2, 1,3652E+00,5, 1,0000E+03
101,523;49,88400;9,45;5,81;;0, 4,9884E+01,2, 1,3652E+00,5, 1,0000E+03
102,524;49,88900;9,45;5,81;;0, 4,9889E+01,2, 1,3652E+00,5, 1,0000E+03
103,531;49,88600;9,45;5,81;;0, 4,9886E+01,2, 1,3652E+00,5, 1,0000E+03
104,535;49,88800;9,45;5,81;;0, 4,9888E+01,2, 1,3652E+00,5, 1,0000E+03
105,537;49,89600;9,45;5,81;;0, 4,9896E+01,2, 1,3652E+00,5, 1,0000E+03
106,544;49,91900;9,45;5,81;;0, 4,9919E+01,2, 1,3652E+00,5, 1,0000E+03
107,553;49,93000;9,44;5,81;;0, 4,9930E+01,2, 1,3652E+00,5, 1,0000E+03
108,563;49,90800;9,44;5,81;;0, 4,9908E+01,2, 1,3652E+00,5, 1,0000E+03
109,564;49,89100;9,44;5,81;;0, 4,9891E+01,2, 1,3652E+00,5, 1,0000E+03
110,571;49,88600;9,45;5,81;;0, 4,9886E+01,2, 1,3652E+00,5, 1,0000E+03
